Numéro d'inventaire,JJ,MM,AAAA,Lieu capture,genre,sp,Identificateur,Photographe,Type d'appareil,Nombre de photo,
WB1_23_136,27,5,2023,Col de la Chau,Bombus,rupestris,Mehdi ISSERTES,Adrien Perrard,Pixel 7 Pro,1,
WB1_23_137,27,5,2023,Col de la Chau,Bombus,rupestris,Mehdi ISSERTES,Adrien Perrard,Pixel 7 Pro,1,
WB1_23_138,27,5,2023,Col de la Chau,Bombus,pratorum,Mehdi ISSERTES,Adrien Perrard,Pixel 7 Pro,1,
WB1_23_139,27,5,2023,Col de la Chau,Bombus,pratorum,Mehdi ISSERTES,Adrien Perrard,Pixel 7 Pro,1,
WB1_23_140,27,5,2023,Col de la Chau,Bombus,pratorum,Mehdi ISSERTES,Adrien Perrard,Pixel 7 Pro,1,
WB1_23_141,27,5,2023,Col de la Chau,Bombus,pratorum,Mehdi ISSERTES,Adrien Perrard,Pixel 7 Pro,1,
WB1_23_142,27,5,2023,Col de la Chau,Bombus,pratorum,Mehdi ISSERTES,Adrien Perrard,Pixel 7 Pro,1,
WB1_23_143,27,5,2023,Col de la Chau,Bombus,pratorum,Mehdi ISSERTES,Adrien Perrard,Pixel 7 Pro,1,
WB1_23_144,27,5,2023,Col de la Chau,Bombus,pratorum,Mehdi ISSERTES,Adrien Perrard,Pixel 7 Pro,1,
WB1_23_145,27,5,2023,Col de la Chau,Bombus,lapidarius,Mehdi ISSERTES,Adrien Perrard,Pixel 7 Pro,1,
WB1_23_146,27,5,2023,Col de la Chau,Bombus,lapidarius,Mehdi ISSERTES,Adrien Perrard,Pixel 7 Pro,1,
WB1_23_147,27,5,2023,Col de la Chau,Bombus,sp (wurflenii ou pratorum),Mehdi ISSERTES,Adrien Perrard,Pixel 7 Pro,1,lien photo-spécimen identifié douteux
WB1_23_148,27,5,2023,Col de la Chau,Bombus,lapidarius,Mehdi ISSERTES,Adrien Perrard,Pixel 7 Pro,1,
WB1_23_149,27,5,2023,Col de la Chau,Bombus,lapidarius,Mehdi ISSERTES,Adrien Perrard,Pixel 7 Pro,1,
WB1_23_150,27,5,2023,Grange de Vaulneyre,Bombus,pratorum,Mehdi ISSERTES,Adrien Perrard,Pixel 7 Pro,1,
WB1_23_151,27,5,2023,Grange de Vaulneyre,Bombus,sylvestris,Mehdi ISSERTES,Adrien Perrard,Pixel 7 Pro,1,
WB1_23_152,27,5,2023,Grange de Vaulneyre,Bombus,sichelii,Mehdi ISSERTES,Adrien Perrard,Pixel 7 Pro,1,
WB1_23_153,27,5,2023,Grange de Vaulneyre,Bombus,pratorum,Mehdi ISSERTES,Adrien Perrard,Pixel 7 Pro,1,
WB1_23_154,28,5,2023,Font d'Urle,Bombus,mesomelas,Mehdi ISSERTES,Adrien Perrard,Pixel 7 Pro,1,
