source_type,original_id,inv_num,inv_id,inv_name,resolved_conflict,frozen_at
collection,POLLINIS4455,146,ARLY_SORO_0146,ARLY_SORO,False,2026-09-07T18:12:37
collection,POLLINIS4981,147,ARLY_SORO_0147,ARLY_SORO,False,2026-09-07T18:12:37
collection,POLLINIS4982b,148,ARLY_SORO_0148,ARLY_SORO,False,2026-09-07T18:12:37
collection,POLLINIS4984,149,ARLY_SORO_0149,ARLY_SORO,False,2026-09-07T18:12:37
collection,POLLINIS5943,150,ARLY_SORO_0150,ARLY_SORO,False,2026-09-07T18:12:37
collection,POLLINIS5983,151,ARLY_SORO_0151,ARLY_SORO,False,2026-09-07T18:12:37
collection,POLLINIS5985,152,ARLY_SORO_0152,ARLY_SORO,False,2026-09-07T18:12:37
collection,Znieff_galibier,153,ARLY_SORO_0153,ARLY_SORO,False,2026-09-07T18:12:37
collection,2020.00254,1,ARTHRO_0001,ARTHRO,False,2026-09-07T18:12:37
collection,2020.03936,2,ARTHRO_0002,ARTHRO,False,2026-09-07T18:12:37
collection,ABAURA7781,3,ARTHRO_0003,ARTHRO,False,2026-09-07T18:12:37
collection,ABAURA7781b,4,ARTHRO_0004,ARTHRO,False,2026-09-07T18:12:37
collection,73110,1,BRUGEROLLES_0001,BRUGEROLLES,False,2026-09-07T18:12:37
collection,CollecYvan15,2,BRUGEROLLES_0002,BRUGEROLLES,False,2026-09-07T18:12:37
collection,CollecYvan16,3,BRUGEROLLES_0003,BRUGEROLLES,False,2026-09-07T18:12:37
collection,CollecYvan23,4,BRUGEROLLES_0004,BRUGEROLLES,False,2026-09-07T18:12:37
collection,73440,5,BRUGEROLLES_0005,BRUGEROLLES,False,2026-09-07T18:12:37
collection,CollecYvan14,6,BRUGEROLLES_0006,BRUGEROLLES,False,2026-09-07T18:12:37
collection,CollecYvan17,7,BRUGEROLLES_0007,BRUGEROLLES,False,2026-09-07T18:12:37
collection,63970,8,BRUGEROLLES_0008,BRUGEROLLES,False,2026-09-07T18:12:37
collection,CollecYvan19,9,BRUGEROLLES_0009,BRUGEROLLES,False,2026-09-07T18:12:37
collection,CollecYvan20,10,BRUGEROLLES_0010,BRUGEROLLES,False,2026-09-07T18:12:37
collection,CollecYvan22,11,BRUGEROLLES_0011,BRUGEROLLES,False,2026-09-07T18:12:37
