inv_id,source_type,dd,mm,yyyy,collection_origin,capture_mode,capture_region,capture_locality,collector,order,family,genus,species,caste,identifier,identification_year,photographer,specimen_state,device,device_type,n_photos
2017.07639,collection,,,2017,Arthropologia Lyon,net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,terrestris,queen,Gilles MAHÉ,2019,Basile PETIT,pinned,Smartphone Samsung s10,S,5
2017.07639,collection,,,2017,Arthropologia Lyon,net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,terrestris,queen,Gilles MAHÉ,2019,Basile PETIT,pinned,Canon EOS 70D - 40mm,P,5
2017.07643,collection,,,2017,Arthropologia Lyon,net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,terrestris,drone,Frederic VYGHEN,2017,Basile PETIT,pinned,Smartphone Samsung s10,S,5
2017.07643,collection,,,2017,Arthropologia Lyon,net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,terrestris,drone,Frederic VYGHEN,2017,Basile PETIT,pinned,Canon EOS 70D - 40mm,P,5
2017.07656,collection,,,2017,Arthropologia Lyon,net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,terrestris,drone,Frederic VYGHEN,2017,Basile PETIT,pinned,Smartphone Samsung s10,S,5
2017.07656,collection,,,2017,Arthropologia Lyon,net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,terrestris,drone,Frederic VYGHEN,2017,Basile PETIT,pinned,Canon EOS 70D - 40mm,P,5
2017.07755,collection,,,2017,Arthropologia Lyon,net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,terrestris,queen,Gilles MAHÉ,2019,Basile PETIT,pinned,Smartphone Samsung s10,S,5
2017.07755,collection,,,2017,Arthropologia Lyon,net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,terrestris,queen,Gilles MAHÉ,2019,Basile PETIT,pinned,Canon EOS 70D - 40mm,P,5
2017.07838,collection,,,2017,Arthropologia Lyon,net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,terrestris,ouvriere,Frederic VYGHEN,2017,Basile PETIT,pinned,Smartphone Samsung s10,S,5
2017.07838,collection,,,2017,Arthropologia Lyon,net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,terrestris,ouvriere,Frederic VYGHEN,2017,Basile PETIT,pinned,Canon EOS 70D - 40mm,P,5
