inv_id,source_type,genus,species,caste,identifier_level,onsite_id,onsite_id_time_s,protocol_time_s,protocol_comment,ia1_id,ia1_top1,ia1_top3,ia2_id,ia2_top1,ia2_top3,ia3_id,ia3_top1,ia3_top3,dd,mm,yyyy,capture_locality,photographer,specimen_state,device,device_type,n_photos
WB1_23_0083,terrain,Bombus,lapidarius,,pro,lapidarius,12.0,79.0,,pratorum,0.0,1.0,pratorum,0.0,1.0,pratorum,0.0,1.0,19,7,2023,Omerville,Tarek Bayan,alive,Huawei P30,S,3
WB1_23_0084,terrain,Bombus,lapidarius,,pro,lapidarius,5.0,83.0,,pratorum,0.0,1.0,soroeensis,0.0,1.0,soroeensis,0.0,0.0,19,7,2023,Omerville,Tarek Bayan,alive,Huawei P30,S,3
WB1_23_0085,terrain,Bombus,lapidarius,,pro,lapidarius,10.0,79.0,,pratorum,0.0,1.0,pratorum,0.0,1.0,pratorum,0.0,0.0,19,7,2023,St Gervais,Tarek Bayan,alive,Huawei P30,S,3
WB1_23_0086,terrain,Bombus,sylvarum,,pro,sylvarum,13.0,74.0,,lapidarius,0.0,0.0,sylvarum,1.0,1.0,sylvarum,1.0,1.0,19,7,2023,St Gervais,Tarek Bayan,alive,Huawei P30,S,3
WB1_23_0087,terrain,Bombus,sylvarum,,pro,sylvarum,5.0,65.0,,pratorum,0.0,0.0,pratorum,0.0,1.0,pratorum,0.0,1.0,19,7,2023,St Gervais,Tarek Bayan,alive,Huawei P30,S,3
WB1_23_0091,terrain,Bombus,sylvarum,,accomplished amateur,sylvarum,5.0,92.0,,,,,pratorum,0.0,1.0,,,,21,7,2023,La puch,Basile Petit,alive,Samsung s10,S,3
WB1_23_0092,terrain,Bombus,lapidarius,,accomplished amateur,lapidarius,15.0,80.0,,,,,lapidarius,1.0,1.0,,,,21,7,2023,La puch,Basile Petit,alive,Samsung s10,S,3
WB1_23_0093,terrain,Bombus,lapidarius,,accomplished amateur,lapidarius,10.0,90.0,,,,,lapidarius,1.0,1.0,,,,21,7,2023,La puch,Basile Petit,alive,Samsung s10,S,3
WB1_23_0094,terrain,Bombus,lapidarius,,accomplished amateur,lapidarius,10.0,70.0,,,,,lapidarius,1.0,1.0,,,,21,7,2023,La puch,Basile Petit,alive,Samsung s10,S,3
WB1_23_0095,terrain,Bombus,lapidarius,,accomplished amateur,lapidarius,10.0,72.0,,,,,lapidarius,1.0,1.0,,,,21,7,2023,La puch,Basile Petit,alive,Samsung s10,S,3
WB1_23_0096,terrain,Bombus,lapidarius,,accomplished amateur,lapidarius,10.0,80.0,,,,,lapidarius,1.0,1.0,,,,21,7,2023,La puch,Basile Petit,alive,Samsung s10,S,3
