idx,image,status,x,y,w,h,theta,confidence,similarity,aspect_ratio,n_detections,input_path,output_path
58,FR15ABOM210821139_S2.jpg,OK,1471,1849,406,1004,0.0,0.891,0.881,2.48,2,data\images\wide\organized\Bombus_confusus\male\FR15ABOM210821139_S2.jpg,data\images\crop\organized\Bombus_confusus\male\FR15ABOM210821139_S2.jpg
59,FR15ABOM210821139_S3.jpg,OK,1297,1912,437,1004,0.0,0.887,0.9,2.3,2,data\images\wide\organized\Bombus_confusus\male\FR15ABOM210821139_S3.jpg,data\images\crop\organized\Bombus_confusus\male\FR15ABOM210821139_S3.jpg
60,FR15ABOM210821165_P1.JPG,OK,2503,1831,603,1378,0.0,0.435,0.92,2.28,2,data\images\wide\organized\Bombus_confusus\male\FR15ABOM210821165_P1.JPG,data\images\crop\organized\Bombus_confusus\male\FR15ABOM210821165_P1.JPG
61,FR15ABOM210821165_P2.JPG,OK,2510,1812,603,1354,0.0,0.816,0.912,2.24,2,data\images\wide\organized\Bombus_confusus\male\FR15ABOM210821165_P2.JPG,data\images\crop\organized\Bombus_confusus\male\FR15ABOM210821165_P2.JPG
62,FR15ABOM210821165_S1.jpg,OK,1414,2022,469,1047,0.0,0.902,0.877,2.24,2,data\images\wide\organized\Bombus_confusus\male\FR15ABOM210821165_S1.jpg,data\images\crop\organized\Bombus_confusus\male\FR15ABOM210821165_S1.jpg
63,FR15ABOM210821165_S2.jpg,OK,1345,2006,469,1036,0.0,0.902,0.893,2.21,2,data\images\wide\organized\Bombus_confusus\male\FR15ABOM210821165_S2.jpg,data\images\crop\organized\Bombus_confusus\male\FR15ABOM210821165_S2.jpg
64,FR15ABOM210821165_S3.jpg,OK,1335,2038,469,1016,0.0,0.946,0.883,2.17,3,data\images\wide\organized\Bombus_confusus\male\FR15ABOM210821165_S3.jpg,data\images\crop\organized\Bombus_confusus\male\FR15ABOM210821165_S3.jpg
65,FR15ABOM210821171_P1.JPG,OK,2582,1798,575,1382,0.0,0.842,0.94,2.4,2,data\images\wide\organized\Bombus_confusus\male\FR15ABOM210821171_P1.JPG,data\images\crop\organized\Bombus_confusus\male\FR15ABOM210821171_P1.JPG
66,FR15ABOM210821171_P2.JPG,OK,2534,1803,584,1363,0.0,0.762,0.943,2.33,2,data\images\wide\organized\Bombus_confusus\male\FR15ABOM210821171_P2.JPG,data\images\crop\organized\Bombus_confusus\male\FR15ABOM210821171_P2.JPG
67,FR15ABOM210821171_S1.jpg,OK,1240,2014,453,1047,0.0,0.923,0.9,2.31,2,data\images\wide\organized\Bombus_confusus\male\FR15ABOM210821171_S1.jpg,data\images\crop\organized\Bombus_confusus\male\FR15ABOM210821171_S1.jpg
68,FR15ABOM210821171_S2.jpg,OK,1250,2038,437,1036,0.0,0.791,0.893,2.37,3,data\images\wide\organized\Bombus_confusus\male\FR15ABOM210821171_S2.jpg,data\images\crop\organized\Bombus_confusus\male\FR15ABOM210821171_S2.jpg
69,FR15ABOM210821171_S3.jpg,OK,1201,2053,437,1000,0.0,0.887,0.912,2.29,5,data\images\wide\organized\Bombus_confusus\male\FR15ABOM210821171_S3.jpg,data\images\crop\organized\Bombus_confusus\male\FR15ABOM210821171_S3.jpg
70,FR15ABOM210821210_P1.JPG,OK,2601,1803,584,1382,0.0,0.651,0.934,2.37,3,data\images\wide\organized\Bombus_confusus\male\FR15ABOM210821210_P1.JPG,data\images\crop\organized\Bombus_confusus\male\FR15ABOM210821210_P1.JPG
71,FR15ABOM210821210_P2.JPG,OK,2553,1841,584,1363,0.0,0.794,0.939,2.33,1,data\images\wide\organized\Bombus_confusus\male\FR15ABOM210821210_P2.JPG,data\images\crop\organized\Bombus_confusus\male\FR15ABOM210821210_P2.JPG
72,FR15ABOM210821210_S1.jpg,OK,1329,1839,449,1036,0.0,0.838,0.886,2.31,3,data\images\wide\organized\Bombus_confusus\male\FR15ABOM210821210_S1.jpg,data\images\crop\organized\Bombus_confusus\male\FR15ABOM210821210_S1.jpg
73,FR15ABOM210821210_S2.jpg,OK,1297,2014,453,1036,0.0,0.894,0.931,2.29,4,data\images\wide\organized\Bombus_confusus\male\FR15ABOM210821210_S2.jpg,data\images\crop\organized\Bombus_confusus\male\FR15ABOM210821210_S2.jpg
74,FR15ABOM210821210_S3.jpg,OK,1162,2109,421,1047,0.0,0.905,0.911,2.49,2,data\images\wide\organized\Bombus_confusus\male\FR15ABOM210821210_S3.jpg,data\images\crop\organized\Bombus_confusus\male\FR15ABOM210821210_S3.jpg
75,FR15ABOM210821212_P1.JPG,OK,2344,1774,565,1477,0.0,0.565,0.942,2.61,1,data\images\wide\organized\Bombus_confusus\male\FR15ABOM210821212_P1.JPG,data\images\crop\organized\Bombus_confusus\male\FR15ABOM210821212_P1.JPG
76,FR15ABOM210821212_P2.JPG,OK,2401,1755,565,1477,0.0,0.626,0.942,2.61,1,data\images\wide\organized\Bombus_confusus\male\FR15ABOM210821212_P2.JPG,data\images\crop\organized\Bombus_confusus\male\FR15ABOM210821212_P2.JPG
77,FR15ABOM210821212_S1.jpg,OK,1217,1857,453,1189,0.0,0.836,0.901,2.63,4,data\images\wide\organized\Bombus_confusus\male\FR15ABOM210821212_S1.jpg,data\images\crop\organized\Bombus_confusus\male\FR15ABOM210821212_S1.jpg
78,FR15ABOM210821212_S2.jpg,OK,1171,2014,453,1162,0.0,0.914,0.919,2.57,2,data\images\wide\organized\Bombus_confusus\male\FR15ABOM210821212_S2.jpg,data\images\crop\organized\Bombus_confusus\male\FR15ABOM210821212_S2.jpg
