idx,image,status,x,y,w,h,theta,confidence,similarity,aspect_ratio,n_detections,input_path,output_path
150,WB1_23_0121_2,OK,1392,2581,295,721,0.0,0.974,0.827,2.44,2,data\images\wide\terrain\mehdi\WB1_23_0121_2.jpg,data\images\crop\terrain\mehdi\WB1_23_0121_2.jpg
151,WB1_23_0121_3,OK,1626,2754,295,717,0.0,0.971,0.853,2.43,3,data\images\wide\terrain\mehdi\WB1_23_0121_3.jpg,data\images\crop\terrain\mehdi\WB1_23_0121_3.jpg
152,WB1_23_0122_1,OK,1463,2555,339,799,0.0,0.982,0.791,2.36,3,data\images\wide\terrain\mehdi\WB1_23_0122_1.jpg,data\images\crop\terrain\mehdi\WB1_23_0122_1.jpg
153,WB1_23_0122_2,OK,1471,2573,343,784,0.0,0.976,0.873,2.29,2,data\images\wide\terrain\mehdi\WB1_23_0122_2.jpg,data\images\crop\terrain\mehdi\WB1_23_0122_2.jpg
154,WB1_23_0122_3,OK,1534,2573,343,784,0.0,0.982,0.828,2.29,2,data\images\wide\terrain\mehdi\WB1_23_0122_3.jpg,data\images\crop\terrain\mehdi\WB1_23_0122_3.jpg
155,WB1_23_0123_1,OK,1272,2628,390,669,0.0,0.95,0.78,1.72,2,data\images\wide\terrain\mehdi\WB1_23_0123_1.jpg,data\images\crop\terrain\mehdi\WB1_23_0123_1.jpg
156,WB1_23_0123_2,OK,1227,2626,386,673,0.0,0.969,0.807,1.74,4,data\images\wide\terrain\mehdi\WB1_23_0123_2.jpg,data\images\crop\terrain\mehdi\WB1_23_0123_2.jpg
157,WB1_23_0123_3,OK,1274,2660,390,673,0.0,0.983,0.8,1.73,3,data\images\wide\terrain\mehdi\WB1_23_0123_3.jpg,data\images\crop\terrain\mehdi\WB1_23_0123_3.jpg
158,WB1_23_0124_1,OK,1268,2787,808,416,-21.529,0.784,0.789,1.94,3,data\images\wide\terrain\mehdi\WB1_23_0124_1.jpg,data\images\crop\terrain\mehdi\WB1_23_0124_1.jpg
159,WB1_23_0124_2,OK,1327,2770,816,423,-21.329,0.912,0.793,1.93,3,data\images\wide\terrain\mehdi\WB1_23_0124_2.jpg,data\images\crop\terrain\mehdi\WB1_23_0124_2.jpg
160,WB1_23_0124_3,OK,1308,2839,817,422,-21.448,0.935,0.799,1.93,3,data\images\wide\terrain\mehdi\WB1_23_0124_3.jpg,data\images\crop\terrain\mehdi\WB1_23_0124_3.jpg
161,WB1_23_0125_1,OK,1366,2447,406,953,0.0,0.96,0.799,2.35,6,data\images\wide\terrain\mehdi\WB1_23_0125_1.jpg,data\images\crop\terrain\mehdi\WB1_23_0125_1.jpg
162,WB1_23_0125_2,OK,1498,2455,390,965,0.0,0.954,0.835,2.47,5,data\images\wide\terrain\mehdi\WB1_23_0125_2.jpg,data\images\crop\terrain\mehdi\WB1_23_0125_2.jpg
163,WB1_23_0125_3,OK,1398,2431,406,953,0.0,0.959,0.819,2.35,3,data\images\wide\terrain\mehdi\WB1_23_0125_3.jpg,data\images\crop\terrain\mehdi\WB1_23_0125_3.jpg
164,WB1_23_0076_1,OK,898,2707,248,549,0.0,0.986,0.856,2.22,1,data\images\wide\terrain\tarek\WB1_23_0076_1.jpg,data\images\crop\terrain\tarek\WB1_23_0076_1.jpg
165,WB1_23_0076_2,OK,450,2599,320,698,0.0,0.961,0.853,2.18,1,data\images\wide\terrain\tarek\WB1_23_0076_2.jpg,data\images\crop\terrain\tarek\WB1_23_0076_2.jpg
166,WB1_23_0076_3,OK,432,2599,320,698,0.0,0.943,0.843,2.18,2,data\images\wide\terrain\tarek\WB1_23_0076_3.jpg,data\images\crop\terrain\tarek\WB1_23_0076_3.jpg
167,WB1_23_0077_1,OK,585,2554,338,860,0.0,0.922,0.817,2.55,2,data\images\wide\terrain\tarek\WB1_23_0077_1.jpg,data\images\crop\terrain\tarek\WB1_23_0077_1.jpg
168,WB1_23_0077_2,OK,504,2414,346,913,0.0,0.94,0.782,2.64,1,data\images\wide\terrain\tarek\WB1_23_0077_2.jpg,data\images\crop\terrain\tarek\WB1_23_0077_2.jpg
169,WB1_23_0077_3,OK,442,2365,356,884,0.0,0.39,0.848,2.49,1,data\images\wide\terrain\tarek\WB1_23_0077_3.jpg,data\images\crop\terrain\tarek\WB1_23_0077_3.jpg
170,WB1_23_0078_1,OK,531,3022,302,788,0.0,0.98,0.841,2.61,1,data\images\wide\terrain\tarek\WB1_23_0078_1.jpg,data\images\crop\terrain\tarek\WB1_23_0078_1.jpg
171,WB1_23_0078_2,OK,567,3229,284,752,0.0,0.918,0.814,2.65,1,data\images\wide\terrain\tarek\WB1_23_0078_2.jpg,data\images\crop\terrain\tarek\WB1_23_0078_2.jpg
172,WB1_23_0078_3,OK,891,3076,302,824,0.0,0.983,0.85,2.73,1,data\images\wide\terrain\tarek\WB1_23_0078_3.jpg,data\images\crop\terrain\tarek\WB1_23_0078_3.jpg
173,WB1_23_0079_1,OK,612,2887,355,877,0.0,0.976,0.858,2.47,1,data\images\wide\terrain\tarek\WB1_23_0079_1.jpg,data\images\crop\terrain\tarek\WB1_23_0079_1.jpg
174,WB1_23_0079_2,OK,639,2941,356,860,0.0,0.978,0.861,2.42,1,data\images\wide\terrain\tarek\WB1_23_0079_2.jpg,data\images\crop\terrain\tarek\WB1_23_0079_2.jpg
175,WB1_23_0079_3,OK,513,2977,356,860,0.0,0.969,0.86,2.42,1,data\images\wide\terrain\tarek\WB1_23_0079_3.jpg,data\images\crop\terrain\tarek\WB1_23_0079_3.jpg
176,WB1_23_0080_1,OK,495,2338,265,643,0.0,0.959,0.833,2.42,1,data\images\wide\terrain\tarek\WB1_23_0080_1.jpg,data\images\crop\terrain\tarek\WB1_23_0080_1.jpg
177,WB1_23_0080_2,OK,441,2212,302,716,0.0,0.976,0.834,2.37,1,data\images\wide\terrain\tarek\WB1_23_0080_2.jpg,data\images\crop\terrain\tarek\WB1_23_0080_2.jpg
