num_inv,collection_origine,mode_capture,jj,mm,aaaa,region,localite,collecteur,ordre,famille,genre,espece,caste,identificateur,année_identification,photographe,specimen,appareil,n_photos
2006.0473,Collection Arthropologia Lyon,Filet,,,2006,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,Lucorum,Mâle,Gilles MAHÉ,2006,Basile PETIT,Epinglé,Smartphone Samsung s10,5
2006.0473,Collection Arthropologia Lyon,Filet,,,2006,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,Lucorum,Mâle,Gilles MAHÉ,2006,Basile PETIT,Epinglé,Canon EOS 70D - 40mm,5
2007.0008,Collection Arthropologia Lyon (stock pratorum),Filet,5,6,2007,Auvergne-Rhônes Alpes,Marcy l'etoile,H.Mouret,Hymenoptera,Apidae,Bombus,Pratorum,Mâle,Frederic VYGHEN,,Basile PETIT,Epinglé,Smartphone Samsung s10,3
2007.0008,Collection Arthropologia Lyon (stock pratorum),Filet,5,6,2007,Auvergne-Rhônes Alpes,Marcy l'etoile,H.Mouret,Hymenoptera,Apidae,Bombus,Pratorum,Mâle,Frederic VYGHEN,,Basile PETIT,Epinglé,Canon EOS 70D - 40mm,2
2007.0712,Collection Arthropologia Lyon,Filet,19,5,2007,Auvergne-Rhônes Alpes,Boussuivre,H.MOURET,Hymenoptera,Apidae,Bombus,Rupestris,Fondatrice,Gilles MAHÉ,2007,Basile PETIT,Epinglé,Canon EOS 70D - 40mm,5
2007.0712,Collection Arthropologia Lyon,Filet,19,5,2007,Auvergne-Rhônes Alpes,Boussuivre,H.MOURET,Hymenoptera,Apidae,Bombus,Rupestris,Fondatrice,Gilles MAHÉ,2007,Basile PETIT,Epinglé,Smartphone Samsung s10,5
2012.0034,Collection Arthropologia Lyon (stock soroeensis),Filet,,,2012,Auvergne-Rhônes Alpes,,Hugues MOURET,Hymenoptera,Apidae,Bombus,Sylvarum,Ouvrière,Gilles MAHÉ,2012,Basile PETIT,Epinglé,Smartphone Samsung s10,3
2012.0034,Collection Arthropologia Lyon (stock soroeensis),Filet,,,2012,Auvergne-Rhônes Alpes,,Hugues MOURET,Hymenoptera,Apidae,Bombus,Sylvarum,Ouvrière,Gilles MAHÉ,2012,Basile PETIT,Epinglé,Canon EOS 70D - 100mm macro,2
2013.0265,Collection Arthropologia Lyon (stock pratorum),Filet,,,2013,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,Pratorum,Mâle,Yvan BRUGEROLLES,2022,Basile PETIT,Epinglé,Smartphone Samsung s10,3
2013.0265,Collection Arthropologia Lyon (stock pratorum),Filet,,,2013,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,Pratorum,Mâle,Yvan BRUGEROLLES,2022,Basile PETIT,Epinglé,Canon EOS 70D - 40mm,2
2016.8252,Collection Arthropologia Lyon,Filet,,,2016,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,Terrestris,Mâle,Frederic VYGHEN,2017,Basile PETIT,Epinglé,Smartphone Samsung s10,5
2016.8252,Collection Arthropologia Lyon,Filet,,,2016,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,Terrestris,Mâle,Frederic VYGHEN,2017,Basile PETIT,Epinglé,Canon EOS 70D - 40mm,5
2016.8462,Collection Arthropologia Lyon,Filet,,,2016,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,Terrestris,Reine,Frederic VYGHEN,2016,Basile PETIT,Epinglé,Smartphone Samsung s10,5
2016.8462,Collection Arthropologia Lyon,Filet,,,2016,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,Terrestris,Reine,Frederic VYGHEN,2016,Basile PETIT,Epinglé,Canon EOS 70D - 40mm,5
2017:06526,Collection Arthropologia Lyon,Filet,,,2017,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,Terrestris,Mâle,Gilles MAHÉ,2019,Basile PETIT,Epinglé,Smartphone Samsung s10,5
2017:06526,Collection Arthropologia Lyon,Filet,,,2017,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,Terrestris,Mâle,Gilles MAHÉ,2019,Basile PETIT,Epinglé,Canon EOS 70D - 40mm,5
2017.06254,Collection Arthropologia Lyon (stock soroeensis),Filet,,,2017,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,Sylvarum,Ouvrière,Gilles MAHÉ,2019,Basile PETIT,Epinglé,Smartphone Samsung s10,3
2017.06254,Collection Arthropologia Lyon (stock soroeensis),Filet,,,2017,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,Sylvarum,Ouvrière,Gilles MAHÉ,2019,Basile PETIT,Epinglé,Canon EOS 70D - 40mm,2
2017.06494,Collection Arthropologia Lyon,Filet,,,2017,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,Terrestris,Mâle,Frederic VYGHEN,2017,Basile PETIT,Epinglé,Smartphone Samsung s10,5
2017.06494,Collection Arthropologia Lyon,Filet,,,2017,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,Terrestris,Mâle,Frederic VYGHEN,2017,Basile PETIT,Epinglé,Canon EOS 70D - 40mm,5
2017.07639,Collection Arthropologia Lyon,Filet,,,2017,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,Terrestris,Reine,Gilles MAHÉ,2019,Basile PETIT,Epinglé,Smartphone Samsung s10,5
2017.07639,Collection Arthropologia Lyon,Filet,,,2017,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,Terrestris,Reine,Gilles MAHÉ,2019,Basile PETIT,Epinglé,Canon EOS 70D - 40mm,5
2017.07643,Collection Arthropologia Lyon,Filet,,,2017,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,Terrestris,Mâle,Frederic VYGHEN,2017,Basile PETIT,Epinglé,Smartphone Samsung s10,5
2017.07643,Collection Arthropologia Lyon,Filet,,,2017,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,Terrestris,Mâle,Frederic VYGHEN,2017,Basile PETIT,Epinglé,Canon EOS 70D - 40mm,5
2017.07656,Collection Arthropologia Lyon,Filet,,,2017,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,Terrestris,Mâle,Frederic VYGHEN,2017,Basile PETIT,Epinglé,Smartphone Samsung s10,5
2017.07656,Collection Arthropologia Lyon,Filet,,,2017,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,Terrestris,Mâle,Frederic VYGHEN,2017,Basile PETIT,Epinglé,Canon EOS 70D - 40mm,5
2017.07755,Collection Arthropologia Lyon,Filet,,,2017,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,Terrestris,Reine,Gilles MAHÉ,2019,Basile PETIT,Epinglé,Smartphone Samsung s10,5
2017.07755,Collection Arthropologia Lyon,Filet,,,2017,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,Terrestris,Reine,Gilles MAHÉ,2019,Basile PETIT,Epinglé,Canon EOS 70D - 40mm,5
2017.07838,Collection Arthropologia Lyon,Filet,,,2017,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,Terrestris,ouvriere,Frederic VYGHEN,2017,Basile PETIT,Epinglé,Smartphone Samsung s10,5
2017.07838,Collection Arthropologia Lyon,Filet,,,2017,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,Terrestris,ouvriere,Frederic VYGHEN,2017,Basile PETIT,Epinglé,Canon EOS 70D - 40mm,5
2019.00316,Collection Arthropologia Lyon (stock pratorum),Filet,,,2019,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,Pratorum,Ouvrière,Gilles MAHÉ,2019,Basile PETIT,Epinglé,Smartphone Samsung s10,3
2019.00316,Collection Arthropologia Lyon (stock pratorum),Filet,,,2019,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,Pratorum,Ouvrière,Gilles MAHÉ,2019,Basile PETIT,Epinglé,Canon EOS 70D - 40mm,2
2019.01788,Collection Arthropologia Lyon (stock pratorum),Filet,,,2019,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,Pratorum,Fondatrice,Frederic VYGHEN,2019,Basile PETIT,Epinglé,Smartphone Samsung s10,3
2019.01788,Collection Arthropologia Lyon (stock pratorum),Filet,,,2019,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,Pratorum,Fondatrice,Frederic VYGHEN,2019,Basile PETIT,Epinglé,Canon EOS 70D - 40mm,2
