photo_id,inv_id,device_type,device,photo_index,photographer,ext,content_hash,file_size_bytes,path,status,status_reason
ARLY_0014_S_3,ARLY_0014,S,Canon EOS 70D - 40mm,3,Basile PETIT,.jpg,40d8174fd83570bb,2166656,/Volumes/EXT DATA/IDMB/derived/Bombus/collection/images/ARLY_0014_S_3.jpg,OK,
ARLY_0015_P_1,ARLY_0015,P,Smartphone Samsung s10,1,Basile PETIT,.jpg,2d65a061e305b630,1467189,/Volumes/EXT DATA/IDMB/derived/Bombus/collection/images/ARLY_0015_P_1.jpg,OK,
ARLY_0015_P_2,ARLY_0015,P,Smartphone Samsung s10,2,Basile PETIT,.jpg,005a201d2963ebdb,1448183,/Volumes/EXT DATA/IDMB/derived/Bombus/collection/images/ARLY_0015_P_2.jpg,OK,
ARLY_0015_P_3,ARLY_0015,P,Smartphone Samsung s10,3,Basile PETIT,.jpg,93c85c01a21c6796,1453466,/Volumes/EXT DATA/IDMB/derived/Bombus/collection/images/ARLY_0015_P_3.jpg,OK,
ARLY_0015_S_1,ARLY_0015,S,Smartphone Samsung s10,1,Basile PETIT,.jpg,89469a40b49b59ea,1865116,/Volumes/EXT DATA/IDMB/derived/Bombus/collection/images/ARLY_0015_S_1.jpg,OK,
ARLY_0015_S_2,ARLY_0015,S,Smartphone Samsung s10,2,Basile PETIT,.jpg,40cdd45017d73186,2140371,/Volumes/EXT DATA/IDMB/derived/Bombus/collection/images/ARLY_0015_S_2.jpg,OK,
ARLY_0015_S_3,ARLY_0015,S,Smartphone Samsung s10,3,Basile PETIT,.jpg,9c8296defd04eeb8,2107009,/Volumes/EXT DATA/IDMB/derived/Bombus/collection/images/ARLY_0015_S_3.jpg,OK,
ARLY_0016_P_1,ARLY_0016,P,Canon EOS 70D - 40mm,1,Basile PETIT,.jpg,0cde8febd1025985,1300785,/Volumes/EXT DATA/IDMB/derived/Bombus/collection/images/ARLY_0016_P_1.jpg,OK,
ARLY_0016_P_2,ARLY_0016,P,Canon EOS 70D - 40mm,2,Basile PETIT,.jpg,bc3d35bc2ee1433f,1309340,/Volumes/EXT DATA/IDMB/derived/Bombus/collection/images/ARLY_0016_P_2.jpg,OK,
ARLY_0016_P_3,ARLY_0016,P,Canon EOS 70D - 40mm,3,Basile PETIT,.jpg,9840289f64bca0d1,1279331,/Volumes/EXT DATA/IDMB/derived/Bombus/collection/images/ARLY_0016_P_3.jpg,OK,
ARLY_0016_P_4,ARLY_0016,P,Canon EOS 70D - 40mm,4,Basile PETIT,.jpg,7209f30f5a787536,1255765,/Volumes/EXT DATA/IDMB/derived/Bombus/collection/images/ARLY_0016_P_4.jpg,OK,
ARLY_0016_P_5,ARLY_0016,P,Canon EOS 70D - 40mm,5,Basile PETIT,.jpg,76f0a8f31af08f59,1296718,/Volumes/EXT DATA/IDMB/derived/Bombus/collection/images/ARLY_0016_P_5.jpg,OK,
ARLY_0016_S_1,ARLY_0016,S,Canon EOS 70D - 40mm,1,Basile PETIT,.jpg,b7fdcb4bc45d0a5c,1956545,/Volumes/EXT DATA/IDMB/derived/Bombus/collection/images/ARLY_0016_S_1.jpg,OK,
