inv_id,dd,mm,yyyy,collection_origin,capture_mode,capture_region,capture_locality,collector,order,family,genus,species,caste,identifier,identification_year,specimen_state,device.1,n_photos_P,n_photos_S
ARLY_PRAT_0047,,,,Arthropologia Lyon (stock pratorum),net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,monticola,drone,Yvan BRUGEROLLES,2023.0,pinned,Smartphone Samsung s10,2,3
ARLY_PRAT_0048,,,,Arthropologia Lyon (stock pratorum),net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,monticola,worker,Yvan BRUGEROLLES,2022.0,pinned,Smartphone Samsung s10,2,3
ARLY_PRAT_0049,,,,Arthropologia Lyon (stock pratorum),net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,monticola,drone,Yvan BRUGEROLLES,2022.0,pinned,Smartphone Samsung s10,2,3
ARLY_PRAT_0050,,,,Arthropologia Lyon (stock pratorum),net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,monticola,worker,Yvan BRUGEROLLES,2022.0,pinned,Smartphone Samsung s10,2,3
ARLY_PRAT_0051,,,,Arthropologia Lyon (stock pratorum),net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,monticola,worker,Yvan BRUGEROLLES,2022.0,pinned,Smartphone Samsung s10,2,3
ARLY_PRAT_0052,,,,Arthropologia Lyon (stock pratorum),net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,monticola,worker,Yvan BRUGEROLLES,2022.0,pinned,Smartphone Samsung s10,2,3
ARLY_PRAT_0053,,,,Arthropologia Lyon (stock pratorum),net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,pyrenaeus,worker,Yvan BRUGEROLLES,2022.0,pinned,Smartphone Samsung s10,2,3
ARLY_PRAT_0054,,,,Arthropologia Lyon (stock pratorum),net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,pratorum,worker,Yvan BRUGEROLLES,2023.0,pinned,Canon EOS 70D - 40mm,2,3
ARLY_PRAT_0055,,,,Arthropologia Lyon (stock pratorum),net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,monticola,drone,Yvan BRUGEROLLES,2022.0,pinned,Smartphone Samsung s10,2,3
ARLY_PRAT_0056,,,,Arthropologia Lyon (stock pratorum),net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,pyrenaeus,drone,Yvan BRUGEROLLES,2022.0,pinned,Smartphone Samsung s10,2,3
ARLY_PRAT_0057,,,,Arthropologia Lyon (stock pratorum),net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,pyrenaeus,drone,Yvan BRUGEROLLES,2022.0,pinned,Smartphone Samsung s10,2,3
ARLY_PRAT_0058,,,,Arthropologia Lyon (stock pratorum),net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,pyrenaeus,drone,Yvan BRUGEROLLES,2022.0,pinned,Smartphone Samsung s10,2,3
ARLY_PRAT_0059,,,,Arthropologia Lyon (stock pratorum),net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,pyrenaeus,worker,Yvan BRUGEROLLES,2022.0,pinned,Smartphone Samsung s10,2,3
ARLY_PRAT_0060,,,,Arthropologia Lyon (stock pratorum),net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,pratorum,worker,Yvan BRUGEROLLES,2023.0,pinned,Canon EOS 70D - 40mm,2,3
ARLY_PRAT_0061,,,,Arthropologia Lyon (stock pratorum),net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,pratorum,fondatrice,Frederic VYGHEN,,pinned,Smartphone Samsung s10,2,3
ARLY_PRAT_0062,,,2021.0,Arthropologia Lyon (stock pratorum),net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,pratorum,fondatrice,Yvan BRUGEROLLES,2022.0,pinned,Smartphone Samsung s10,2,3
ARLY_PRAT_0063,,,2021.0,Arthropologia Lyon (stock pratorum),net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,pratorum,worker,Frederic VYGHEN,2021.0,pinned,Smartphone Samsung s10,2,3
ARLY_PRAT_0064,,,,Arthropologia Lyon (stock pratorum),net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,pratorum,drone,Yvan BRUGEROLLES,2021.0,pinned,Smartphone Samsung s10,2,3
ARLY_PRAT_0065,,,,Arthropologia Lyon (stock pratorum),net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,pratorum,worker,Frederic VYGHEN,2021.0,pinned,Canon EOS 70D - 40mm,2,3
ARLY_SORO_0001,2.0,5.0,1975.0,Arthropologia Lyon (stock soroeensis),net,Auvergne-Rhônes Alpes,,DEMARCEL,Hymenoptera,Apidae,Bombus,sylvarum,worker,DEMARCEL,1975.0,pinned,Smartphone Samsung s10,2,3
ARLY_SORO_0002,10.0,9.0,2018.0,Arthropologia Lyon (stock soroeensis),net,Auvergne-Rhônes Alpes,Barraux,Frederic VYGHEN,Hymenoptera,Apidae,Bombus,sylvarum,worker,Frederic VYGHEN,2021.0,pinned,Smartphone Samsung s10,2,3
ARLY_SORO_0003,15.0,9.0,2019.0,Arthropologia Lyon (stock soroeensis),net,Auvergne-Rhônes Alpes,Saint-Marcel,Frederic VYGHEN,Hymenoptera,Apidae,Bombus,ruderarius,worker,Frederic VYGHEN,2020.0,pinned,Smartphone Samsung s10,2,3
ARLY_SORO_0004,22.0,8.0,2021.0,Arthropologia Lyon (stock soroeensis),net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,ruderarius,drone,Yvan BRUGEROLLES,2023.0,pinned,Smartphone Samsung s10,2,3
ARLY_SORO_0005,22.0,8.0,2021.0,Arthropologia Lyon (stock soroeensis),net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,sichelii,worker,Yvan BRUGEROLLES,2023.0,pinned,Smartphone Samsung s10,2,3
ARLY_SORO_0006,7.0,5.0,2022.0,Arthropologia Lyon (stock soroeensis),net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,sylvarum,fondatrice,Yvan BRUGEROLLES,2022.0,pinned,Smartphone Samsung s10,2,3
