id,image,status,score,reason
627959391151526188,data\images\crop\organized\organized_2019.00316_S1_08b6f5bd3af5112c.jpg,OK,13.607216002899415,
634066564059452707,data\images\crop\terrain\terrain_WB1_23_0077_tarek2_08cca82e3ab75523.jpg,OK,13.549234605968914,
639136218647473884,data\images\crop\organized\organized_CD388865d_S1_08deab012b91aedc.jpg,OK,5.97740168836082,
641358489116636264,data\images\crop\organized\organized_OPIE_Lapi_95C_P2_08e69025d57a7468.jpg,OK,13.539784965972403,
645661006629888151,data\images\crop\organized\organized_FR15_ABOM30072020045_P2_08f5d943c17ee097.jpg,OK,13.536613325805709,
655751140221128324,data\images\crop\terrain\terrain_WB1_23_0063_ligia2_0919b2300df00e84.jpg,OK,5.756170210100647,
659683353209041464,data\images\crop\organized\organized_CollecYvan12_P2_0927aa83bc437238.jpg,OK,12.751829983452886,
662255590860979914,data\images\crop\organized\organized_2019.01788_P2_0930cdf37bc8feca.jpg,OK,12.483394920770342,
664222208060561525,data\images\crop\organized\organized_FR73ABOM130722006_P2_0937ca943b601875.jpg,OK,13.558061501365652,
667372843141794232,data\images\crop\organized\organized_CollecYvan10_S3_0942fc10a03589b8.jpg,OK,12.786239211026206,
668209083753945658,data\images\crop\organized\organized_ABAURA8150_P2_0945f49f10d7da3a.jpg,OK,5.850529178366331,
678283037591689934,data\images\crop\organized\organized_FR73ABOM130722003_S2_0969bed438d35ace.jpg,OK,13.585066326946523,
692358184279865366,data\images\crop\organized\organized_FR73ABOM130722046_P2_099bc019af55f816.jpg,OK,13.628377505803208,
693759419008968334,data\images\crop\organized\organized_FR15ABOM210821165_P2_09a0ba84119c668e.jpg,OK,13.260883930064391,
706084669960241572,data\images\crop\terrain\terrain_WB1_23_0118_mehdi1_09cc84442e5441a4.jpg,OK,13.632041652202465,
706547559935439005,data\images\crop\organized\organized_2020.06207_P1_09ce294326def09d.jpg,OK,13.703741769761995,
723373869025074347,data\images\crop\organized\organized_15L2021-1585_P2_0a09f0b3870a1cab.jpg,FAILED,inf,"16 landmarks, 18 attendus"
736180175331866364,data\images\crop\organized\organized_CD388018b_P2_0a376ff8115736fc.jpg,OK,13.624574662601106,
