image_id,specimen_id,dataset,collector,device_type,shot_index,raw_path,source_root,naming,ext,file_size_bytes,content_hash,status_ingest,is_duplicate_content
7347ce5e37180ab9,2012.0034,organized,,S,1,/Volumes/EXT DATA/IDMB/images/organized/Bombus_sylvarum/worker/2012.0034_S1.jpg,/Volumes/EXT DATA/IDMB/images/organized,organized_underscore,.jpg,1764506,7347ce5e37180ab9,parsed_ok,False
331d119aa174ee81,1036L,organized,,S,1,/Volumes/EXT DATA/IDMB/images/organized/Bombus_sylvarum/worker/1036L_S1.jpg,/Volumes/EXT DATA/IDMB/images/organized,organized_underscore,.jpg,1519774,331d119aa174ee81,parsed_ok,False
201558def46cc52b,CD387324,organized,,P,2,/Volumes/EXT DATA/IDMB/images/organized/Bombus_sylvarum/worker/CD387324_P2.JPG,/Volumes/EXT DATA/IDMB/images/organized,organized_underscore,.jpg,4476602,201558def46cc52b,parsed_ok,False
3b50178f9b92dacc,NoName5,organized,,P,2,/Volumes/EXT DATA/IDMB/images/organized/Bombus_sylvarum/worker/NoName5_P2.JPG,/Volumes/EXT DATA/IDMB/images/organized,organized_underscore,.jpg,5052356,3b50178f9b92dacc,parsed_ok,False
89db2d384e5e424a,BAR.2018.00342,organized,,P,1,/Volumes/EXT DATA/IDMB/images/organized/Bombus_sylvarum/worker/BAR.2018.00342_P1.JPG,/Volumes/EXT DATA/IDMB/images/organized,organized_underscore,.jpg,4143719,89db2d384e5e424a,parsed_ok,False
ac7563a9647b7a4d,15G2021-1826,organized,,P,2,/Volumes/EXT DATA/IDMB/images/organized/Bombus_sylvarum/worker/15G2021-1826_P2.JPG,/Volumes/EXT DATA/IDMB/images/organized,organized_underscore,.jpg,4930016,ac7563a9647b7a4d,parsed_ok,False
6683d5fa5ddddf88,ABB-2020.00106,organized,,S,3,/Volumes/EXT DATA/IDMB/images/organized/Bombus_sylvarum/worker/ABB-2020.00106_S3.jpg,/Volumes/EXT DATA/IDMB/images/organized,organized_underscore,.jpg,1685892,6683d5fa5ddddf88,parsed_ok,False
63714e1076ff5af4,ABB-2020.00032,organized,,S,3,/Volumes/EXT DATA/IDMB/images/organized/Bombus_sylvarum/worker/ABB-2020.00032_S3.jpg,/Volumes/EXT DATA/IDMB/images/organized,organized_underscore,.jpg,1587831,63714e1076ff5af4,parsed_ok,False
f9b080911ae111d6,2020.04010,organized,,S,1,/Volumes/EXT DATA/IDMB/images/organized/Bombus_sylvarum/worker/2020.04010_S1.jpg,/Volumes/EXT DATA/IDMB/images/organized,organized_underscore,.jpg,1767044,f9b080911ae111d6,parsed_ok,False
dcbd01483c58fa9a,ABAURA5593,organized,,P,2,/Volumes/EXT DATA/IDMB/images/organized/Bombus_sylvarum/worker/ABAURA5593_P2.JPG,/Volumes/EXT DATA/IDMB/images/organized,organized_underscore,.jpg,4808028,dcbd01483c58fa9a,parsed_ok,False
8dad7a5869b47fb5,BAR-2018.00871,organized,,P,1,/Volumes/EXT DATA/IDMB/images/organized/Bombus_sylvarum/worker/BAR-2018.00871_P1.JPG,/Volumes/EXT DATA/IDMB/images/organized,organized_underscore,.jpg,4692805,8dad7a5869b47fb5,parsed_ok,False
b69e57f82c10c174,ABB-2020.00032,organized,,S,2,/Volumes/EXT DATA/IDMB/images/organized/Bombus_sylvarum/worker/ABB-2020.00032_S2.jpg,/Volumes/EXT DATA/IDMB/images/organized,organized_underscore,.jpg,1456541,b69e57f82c10c174,parsed_ok,False
65162c8cf29111e1,CD387766,organized,,P,1,/Volumes/EXT DATA/IDMB/images/organized/Bombus_sylvarum/worker/CD387766_P1.JPG,/Volumes/EXT DATA/IDMB/images/organized,organized_underscore,.jpg,4209596,65162c8cf29111e1,parsed_ok,False
1f8a9f989e6c3133,OPPO_5923,organized,,P,2,/Volumes/EXT DATA/IDMB/images/organized/Bombus_sylvarum/worker/OPPO_5923_P2.JPG,/Volumes/EXT DATA/IDMB/images/organized,organized_underscore,.jpg,4771212,1f8a9f989e6c3133,parsed_ok,False
e76cde6b17530e2a,2020.04010,organized,,S,2,/Volumes/EXT DATA/IDMB/images/organized/Bombus_sylvarum/worker/2020.04010_S2.jpg,/Volumes/EXT DATA/IDMB/images/organized,organized_underscore,.jpg,1455629,e76cde6b17530e2a,parsed_ok,False
a3fc52266fd9329f,ABAURA5593,organized,,P,1,/Volumes/EXT DATA/IDMB/images/organized/Bombus_sylvarum/worker/ABAURA5593_P1.JPG,/Volumes/EXT DATA/IDMB/images/organized,organized_underscore,.jpg,4847789,a3fc52266fd9329f,parsed_ok,False
