photo_id,inv_id,device_type,device,photo_index,photographer,ext,content_hash,file_size_bytes,path,status,status_reason
WB1_23_0024_S_2,WB1_23_0024,S,Huawai mate 10 lite,2,Yvan Brugerolles,.jpg,5e130ee7de7ddffd,390318,/Volumes/EXT DATA/IDMB/derived/Bombus/terrain/images/WB1_23_0024_S_2.jpg,OK,
WB1_23_0024_S_3,WB1_23_0024,S,Huawai mate 10 lite,3,Yvan Brugerolles,.jpg,9d547671497b8bbf,417684,/Volumes/EXT DATA/IDMB/derived/Bombus/terrain/images/WB1_23_0024_S_3.jpg,OK,
WB1_23_0025_S_1,WB1_23_0025,S,Huawai mate 10 lite,1,Yvan Brugerolles,.jpg,79f6b5e1db89a840,387925,/Volumes/EXT DATA/IDMB/derived/Bombus/terrain/images/WB1_23_0025_S_1.jpg,OK,
WB1_23_0025_S_2,WB1_23_0025,S,Huawai mate 10 lite,2,Yvan Brugerolles,.jpg,faa4202902ed06d4,192706,/Volumes/EXT DATA/IDMB/derived/Bombus/terrain/images/WB1_23_0025_S_2.jpg,OK,
WB1_23_0025_S_3,WB1_23_0025,S,Huawai mate 10 lite,3,Yvan Brugerolles,.jpg,87f0271f703086cf,364139,/Volumes/EXT DATA/IDMB/derived/Bombus/terrain/images/WB1_23_0025_S_3.jpg,OK,
WB1_23_0026_S_1,WB1_23_0026,S,Huawai mate 10 lite,1,Yvan Brugerolles,.jpg,709736ca2410eead,394520,/Volumes/EXT DATA/IDMB/derived/Bombus/terrain/images/WB1_23_0026_S_1.jpg,OK,
WB1_23_0026_S_2,WB1_23_0026,S,Huawai mate 10 lite,2,Yvan Brugerolles,.jpg,e5bf4af9a48e1268,328307,/Volumes/EXT DATA/IDMB/derived/Bombus/terrain/images/WB1_23_0026_S_2.jpg,OK,
WB1_23_0026_S_3,WB1_23_0026,S,Huawai mate 10 lite,3,Yvan Brugerolles,.jpg,d6adef59c76df392,315590,/Volumes/EXT DATA/IDMB/derived/Bombus/terrain/images/WB1_23_0026_S_3.jpg,OK,
WB1_23_0031_S_1,WB1_23_0031,S,Samsung S10,1,Guilhem Poulard,.jpg,587e87110950face,2306012,/Volumes/EXT DATA/IDMB/derived/Bombus/terrain/images/WB1_23_0031_S_1.jpg,OK,
WB1_23_0031_S_2,WB1_23_0031,S,Samsung S10,2,Guilhem Poulard,.jpg,87147c6126e98c7b,2321879,/Volumes/EXT DATA/IDMB/derived/Bombus/terrain/images/WB1_23_0031_S_2.jpg,OK,
WB1_23_0031_S_3,WB1_23_0031,S,Samsung S10,3,Guilhem Poulard,.jpg,ba5f221e7f1a7808,1873627,/Volumes/EXT DATA/IDMB/derived/Bombus/terrain/images/WB1_23_0031_S_3.jpg,OK,
WB1_23_0032_S_1,WB1_23_0032,S,Samsung S10,1,Guilhem Poulard,.jpg,6cb54426d86a0177,1600490,/Volumes/EXT DATA/IDMB/derived/Bombus/terrain/images/WB1_23_0032_S_1.jpg,OK,
WB1_23_0032_S_2,WB1_23_0032,S,Samsung S10,2,Guilhem Poulard,.jpg,3b754fc2c0bba798,1536027,/Volumes/EXT DATA/IDMB/derived/Bombus/terrain/images/WB1_23_0032_S_2.jpg,OK,
WB1_23_0032_S_3,WB1_23_0032,S,Samsung S10,3,Guilhem Poulard,.jpg,4eb9ca6d05d40ec3,1642055,/Volumes/EXT DATA/IDMB/derived/Bombus/terrain/images/WB1_23_0032_S_3.jpg,OK,
WB1_23_0033_S_1,WB1_23_0033,S,Samsung S10,1,Guilhem Poulard,.jpg,a2a77d3889fe5fd1,1687074,/Volumes/EXT DATA/IDMB/derived/Bombus/terrain/images/WB1_23_0033_S_1.jpg,OK,
WB1_23_0033_S_2,WB1_23_0033,S,Samsung S10,2,Guilhem Poulard,.jpg,1f4a7bd782c9de49,1744028,/Volumes/EXT DATA/IDMB/derived/Bombus/terrain/images/WB1_23_0033_S_2.jpg,OK,
WB1_23_0033_S_3,WB1_23_0033,S,Samsung S10,3,Guilhem Poulard,.jpg,065a417a65f5cc2e,1594955,/Volumes/EXT DATA/IDMB/derived/Bombus/terrain/images/WB1_23_0033_S_3.jpg,OK,
WB1_23_0034_S_1,WB1_23_0034,S,Samsung S10,1,Guilhem Poulard,.jpg,26166e45709ebc9a,1714231,/Volumes/EXT DATA/IDMB/derived/Bombus/terrain/images/WB1_23_0034_S_1.jpg,OK,
WB1_23_0034_S_2,WB1_23_0034,S,Samsung S10,2,Guilhem Poulard,.jpg,2d9ac241579ef28a,1618337,/Volumes/EXT DATA/IDMB/derived/Bombus/terrain/images/WB1_23_0034_S_2.jpg,OK,
