original_id,source_type,photographer,device_type,shot_index,raw_path,ext,file_size_bytes,content_hash,status,status_reason
FR15_ABOM080820007,collection,,S,1,/Volumes/EXT DATA/IDMB/images/Bombus/collection/Bombus_confusus/male/FR15_ABOM080820007_S1.jpg,.jpg,1931979,d3efc8fddd286fe3,OK,
FR15_ABOM080820007,collection,,S,2,/Volumes/EXT DATA/IDMB/images/Bombus/collection/Bombus_confusus/male/FR15_ABOM080820007_S2.jpg,.jpg,1784358,6931a2a74f5f5d20,OK,
FR15_ABOM080820007,collection,,S,3,/Volumes/EXT DATA/IDMB/images/Bombus/collection/Bombus_confusus/male/FR15_ABOM080820007_S3.jpg,.jpg,1685276,ccad969de9a5ff31,OK,
FR15_ABOM080820039,collection,,P,1,/Volumes/EXT DATA/IDMB/images/Bombus/collection/Bombus_confusus/male/FR15_ABOM080820039_P1.JPG,.jpg,5194439,2dbbcaea550e5452,OK,
FR15_ABOM080820039,collection,,P,2,/Volumes/EXT DATA/IDMB/images/Bombus/collection/Bombus_confusus/male/FR15_ABOM080820039_P2.JPG,.jpg,5261452,1833bc09f46bb11c,OK,
FR15_ABOM080820039,collection,,S,1,/Volumes/EXT DATA/IDMB/images/Bombus/collection/Bombus_confusus/male/FR15_ABOM080820039_S1.jpg,.jpg,1813690,78d1d61b47a990df,OK,
FR15_ABOM080820039,collection,,S,2,/Volumes/EXT DATA/IDMB/images/Bombus/collection/Bombus_confusus/male/FR15_ABOM080820039_S2.jpg,.jpg,1807847,01a88c14283fe83d,OK,
FR15_ABOM080820039,collection,,S,3,/Volumes/EXT DATA/IDMB/images/Bombus/collection/Bombus_confusus/male/FR15_ABOM080820039_S3.jpg,.jpg,2097549,ca042ecfbc7894cb,OK,
FR15_ABOM090820071,collection,,P,1,/Volumes/EXT DATA/IDMB/images/Bombus/collection/Bombus_confusus/male/FR15_ABOM090820071_P1.JPG,.jpg,4388182,295fe26213d53f23,OK,
FR15_ABOM090820071,collection,,P,2,/Volumes/EXT DATA/IDMB/images/Bombus/collection/Bombus_confusus/male/FR15_ABOM090820071_P2.JPG,.jpg,4612465,4bbfa58f6277d90f,OK,
FR15_ABOM090820071,collection,,S,1,/Volumes/EXT DATA/IDMB/images/Bombus/collection/Bombus_confusus/male/FR15_ABOM090820071_S1.jpg,.jpg,1921490,4cb9f3860e14b05f,OK,
FR15_ABOM090820071,collection,,S,2,/Volumes/EXT DATA/IDMB/images/Bombus/collection/Bombus_confusus/male/FR15_ABOM090820071_S2.jpg,.jpg,1672577,1b01d7ca7d6246b5,OK,
FR15_ABOM090820071,collection,,S,3,/Volumes/EXT DATA/IDMB/images/Bombus/collection/Bombus_confusus/male/FR15_ABOM090820071_S3.jpg,.jpg,1783978,38bf4623827243f6,OK,
FR15_ABOM14080820006,collection,,P,1,/Volumes/EXT DATA/IDMB/images/Bombus/collection/Bombus_confusus/male/FR15_ABOM14080820006_P1.JPG,.jpg,4592351,8d119ef7974131f3,OK,
FR15_ABOM14080820006,collection,,P,2,/Volumes/EXT DATA/IDMB/images/Bombus/collection/Bombus_confusus/male/FR15_ABOM14080820006_P2.JPG,.jpg,4596364,fea3d45ca9b535a3,OK,
