photo_id,inv_id,status,error_reason,n_landmarks_found,model_name,processing_time_s,processed_at
WB1_23_0076_S_3,WB1_23_0076,OK,,19,weights,0.0924,2026-09-11T09:28:09+00:00
WB1_23_0077_S_1,WB1_23_0077,OK,,19,weights,0.0935,2026-09-11T09:28:10+00:00
WB1_23_0077_S_2,WB1_23_0077,OK,,19,weights,0.0938,2026-09-11T09:28:10+00:00
WB1_23_0077_S_3,WB1_23_0077,OK,,19,weights,0.0969,2026-09-11T09:28:10+00:00
WB1_23_0078_S_1,WB1_23_0078,OK,,19,weights,0.0930,2026-09-11T09:28:10+00:00
WB1_23_0078_S_2,WB1_23_0078,OK,,19,weights,0.0953,2026-09-11T09:28:10+00:00
WB1_23_0078_S_3,WB1_23_0078,OK,,19,weights,0.0962,2026-09-11T09:28:10+00:00
WB1_23_0079_S_1,WB1_23_0079,OK,,19,weights,0.0961,2026-09-11T09:28:10+00:00
WB1_23_0079_S_2,WB1_23_0079,OK,,19,weights,0.0939,2026-09-11T09:28:10+00:00
WB1_23_0079_S_3,WB1_23_0079,OK,,19,weights,0.0925,2026-09-11T09:28:10+00:00
WB1_23_0080_S_1,WB1_23_0080,OK,,19,weights,0.0894,2026-09-11T09:28:10+00:00
WB1_23_0080_S_2,WB1_23_0080,OK,,19,weights,0.0918,2026-09-11T09:28:10+00:00
WB1_23_0080_S_3,WB1_23_0080,OK,,19,weights,0.0947,2026-09-11T09:28:11+00:00
WB1_23_0081_S_1,WB1_23_0081,OK,,19,weights,0.0947,2026-09-11T09:28:11+00:00
WB1_23_0081_S_2,WB1_23_0081,OK,,19,weights,0.0963,2026-09-11T09:28:11+00:00
WB1_23_0081_S_3,WB1_23_0081,OK,,19,weights,0.0944,2026-09-11T09:28:11+00:00
WB1_23_0082_S_1,WB1_23_0082,OK,,19,weights,0.0953,2026-09-11T09:28:11+00:00
WB1_23_0082_S_2,WB1_23_0082,OK,,19,weights,0.0947,2026-09-11T09:28:11+00:00
WB1_23_0082_S_3,WB1_23_0082,OK,,19,weights,0.0979,2026-09-11T09:28:11+00:00
WB1_23_0083_S_1,WB1_23_0083,OK,,19,weights,0.0938,2026-09-11T09:28:11+00:00
WB1_23_0083_S_2,WB1_23_0083,OK,,19,weights,0.0943,2026-09-11T09:28:11+00:00
WB1_23_0083_S_3,WB1_23_0083,OK,,19,weights,0.0955,2026-09-11T09:28:11+00:00
WB1_23_0084_S_1,WB1_23_0084,OK,,19,weights,0.0940,2026-09-11T09:28:11+00:00
WB1_23_0084_S_2,WB1_23_0084,OK,,19,weights,0.0963,2026-09-11T09:28:12+00:00
WB1_23_0084_S_3,WB1_23_0084,OK,,19,weights,0.0942,2026-09-11T09:28:12+00:00
WB1_23_0085_S_1,WB1_23_0085,OK,,19,weights,0.0961,2026-09-11T09:28:12+00:00
WB1_23_0085_S_2,WB1_23_0085,OK,,19,weights,0.0950,2026-09-11T09:28:12+00:00
WB1_23_0085_S_3,WB1_23_0085,OK,,19,weights,0.0966,2026-09-11T09:28:12+00:00
WB1_23_0086_S_1,WB1_23_0086,OK,,19,weights,0.0956,2026-09-11T09:28:12+00:00
WB1_23_0086_S_2,WB1_23_0086,OK,,19,weights,0.0984,2026-09-11T09:28:12+00:00
WB1_23_0086_S_3,WB1_23_0086,OK,,19,weights,0.0962,2026-09-11T09:28:12+00:00
WB1_23_0087_S_1,WB1_23_0087,OK,,19,weights,0.0946,2026-09-11T09:28:12+00:00
WB1_23_0087_S_2,WB1_23_0087,OK,,19,weights,0.0986,2026-09-11T09:28:12+00:00
WB1_23_0087_S_3,WB1_23_0087,OK,,19,weights,0.0970,2026-09-11T09:28:13+00:00
WB1_23_0091_S_1,WB1_23_0091,OK,,19,weights,0.0972,2026-09-11T09:28:13+00:00
WB1_23_0091_S_2,WB1_23_0091,OK,,19,weights,0.0948,2026-09-11T09:28:13+00:00
WB1_23_0091_S_3,WB1_23_0091,OK,,19,weights,0.0976,2026-09-11T09:28:13+00:00
WB1_23_0092_S_1,WB1_23_0092,OK,,19,weights,0.0950,2026-09-11T09:28:13+00:00
WB1_23_0092_S_3,WB1_23_0092,OK,,19,weights,0.0956,2026-09-11T09:28:13+00:00
WB1_23_0093_S_1,WB1_23_0093,OK,,19,weights,0.0948,2026-09-11T09:28:13+00:00
WB1_23_0093_S_2,WB1_23_0093,OK,,19,weights,0.0952,2026-09-11T09:28:13+00:00
WB1_23_0093_S_3,WB1_23_0093,OK,,19,weights,0.0951,2026-09-11T09:28:13+00:00
WB1_23_0094_S_1,WB1_23_0094,OK,,19,weights,0.0958,2026-09-11T09:28:13+00:00
WB1_23_0094_S_2,WB1_23_0094,OK,,19,weights,0.0953,2026-09-11T09:28:14+00:00
WB1_23_0094_S_3,WB1_23_0094,OK,,19,weights,0.0960,2026-09-11T09:28:14+00:00
WB1_23_0095_S_1,WB1_23_0095,OK,,19,weights,0.0955,2026-09-11T09:28:14+00:00
WB1_23_0095_S_2,WB1_23_0095,OK,,19,weights,0.0964,2026-09-11T09:28:14+00:00
WB1_23_0095_S_3,WB1_23_0095,OK,,19,weights,0.0980,2026-09-11T09:28:14+00:00
WB1_23_0096_S_1,WB1_23_0096,OK,,19,weights,0.0956,2026-09-11T09:28:14+00:00
WB1_23_0096_S_2,WB1_23_0096,OK,,19,weights,0.0954,2026-09-11T09:28:14+00:00
WB1_23_0096_S_3,WB1_23_0096,OK,,19,weights,0.0958,2026-09-11T09:28:14+00:00
WB1_23_0097_S_1,WB1_23_0097,OK,,19,weights,0.0974,2026-09-11T09:28:14+00:00
WB1_23_0097_S_2,WB1_23_0097,OK,,19,weights,0.0950,2026-09-11T09:28:14+00:00
WB1_23_0097_S_3,WB1_23_0097,OK,,19,weights,0.0963,2026-09-11T09:28:14+00:00
WB1_23_0098_S_1,WB1_23_0098,OK,,19,weights,0.0956,2026-09-11T09:28:15+00:00
WB1_23_0098_S_2,WB1_23_0098,OK,,19,weights,0.0951,2026-09-11T09:28:15+00:00
WB1_23_0098_S_3,WB1_23_0098,OK,,19,weights,0.0949,2026-09-11T09:28:15+00:00
WB1_23_0099_S_1,WB1_23_0099,OK,,19,weights,0.0945,2026-09-11T09:28:15+00:00
WB1_23_0099_S_2,WB1_23_0099,OK,,19,weights,0.0957,2026-09-11T09:28:15+00:00
WB1_23_0099_S_3,WB1_23_0099,OK,,19,weights,0.0956,2026-09-11T09:28:15+00:00
WB1_23_0106_S_1,WB1_23_0106,SUSPECT,only_3_of_19_expected_maxima,3,weights,0.0917,2026-09-11T09:28:15+00:00
WB1_23_0106_S_2,WB1_23_0106,SUSPECT,only_14_of_19_expected_maxima,14,weights,0.0945,2026-09-11T09:28:15+00:00
WB1_23_0106_S_3,WB1_23_0106,OK,,19,weights,0.0959,2026-09-11T09:28:15+00:00
WB1_23_0107_S_1,WB1_23_0107,OK,,19,weights,0.0949,2026-09-11T09:28:15+00:00
WB1_23_0107_S_2,WB1_23_0107,OK,,19,weights,0.0945,2026-09-11T09:28:16+00:00
WB1_23_0107_S_3,WB1_23_0107,OK,,19,weights,0.0951,2026-09-11T09:28:16+00:00
WB1_23_0108_S_1,WB1_23_0108,OK,,19,weights,0.0958,2026-09-11T09:28:16+00:00
WB1_23_0108_S_2,WB1_23_0108,OK,,19,weights,0.0967,2026-09-11T09:28:16+00:00
WB1_23_0108_S_3,WB1_23_0108,OK,,19,weights,0.0952,2026-09-11T09:28:16+00:00
WB1_23_0109_S_1,WB1_23_0109,OK,,19,weights,0.0959,2026-09-11T09:28:16+00:00
WB1_23_0109_S_2,WB1_23_0109,OK,,19,weights,0.0951,2026-09-11T09:28:16+00:00
WB1_23_0110_S_1,WB1_23_0110,OK,,19,weights,0.0959,2026-09-11T09:28:16+00:00
WB1_23_0110_S_2,WB1_23_0110,OK,,19,weights,0.0986,2026-09-11T09:28:16+00:00
WB1_23_0111_S_1,WB1_23_0111,OK,,19,weights,0.0957,2026-09-11T09:28:16+00:00
WB1_23_0111_S_2,WB1_23_0111,OK,,19,weights,0.0949,2026-09-11T09:28:16+00:00
WB1_23_0111_S_3,WB1_23_0111,OK,,19,weights,0.0925,2026-09-11T09:28:17+00:00
WB1_23_0112_S_1,WB1_23_0112,OK,,19,weights,0.0977,2026-09-11T09:28:17+00:00
WB1_23_0112_S_2,WB1_23_0112,OK,,19,weights,0.0943,2026-09-11T09:28:17+00:00
WB1_23_0113_S_1,WB1_23_0113,OK,,19,weights,0.0946,2026-09-11T09:28:17+00:00
WB1_23_0113_S_2,WB1_23_0113,OK,,19,weights,0.0951,2026-09-11T09:28:17+00:00
WB1_23_0113_S_3,WB1_23_0113,OK,,19,weights,0.0958,2026-09-11T09:28:17+00:00
WB1_23_0114_S_1,WB1_23_0114,OK,,19,weights,0.0958,2026-09-11T09:28:17+00:00
WB1_23_0114_S_2,WB1_23_0114,OK,,19,weights,0.0976,2026-09-11T09:28:17+00:00
WB1_23_0114_S_3,WB1_23_0114,OK,,19,weights,0.0971,2026-09-11T09:28:17+00:00
WB1_23_0114_S_4,WB1_23_0114,OK,,19,weights,0.0972,2026-09-11T09:28:17+00:00
WB1_23_0115_S_1,WB1_23_0115,OK,,19,weights,0.0956,2026-09-11T09:28:18+00:00
WB1_23_0115_S_2,WB1_23_0115,OK,,19,weights,0.0978,2026-09-11T09:28:18+00:00
WB1_23_0115_S_3,WB1_23_0115,OK,,19,weights,0.0952,2026-09-11T09:28:18+00:00
WB1_23_0116_S_1,WB1_23_0116,FAILED,no_local_maximum,0,weights,0.0886,2026-09-11T09:28:18+00:00
WB1_23_0116_S_2,WB1_23_0116,OK,,19,weights,0.0968,2026-09-11T09:28:18+00:00
WB1_23_0116_S_3,WB1_23_0116,OK,,19,weights,0.1040,2026-09-11T09:28:18+00:00
WB1_23_0117_S_1,WB1_23_0117,OK,,19,weights,0.0954,2026-09-11T09:28:18+00:00
WB1_23_0117_S_2,WB1_23_0117,OK,,19,weights,0.0958,2026-09-11T09:28:18+00:00
WB1_23_0117_S_3,WB1_23_0117,OK,,19,weights,0.0950,2026-09-11T09:28:18+00:00
WB1_23_0118_S_1,WB1_23_0118,OK,,19,weights,0.0968,2026-09-11T09:28:18+00:00
WB1_23_0118_S_2,WB1_23_0118,OK,,19,weights,0.0951,2026-09-11T09:28:18+00:00
WB1_23_0118_S_3,WB1_23_0118,OK,,19,weights,0.0962,2026-09-11T09:28:19+00:00
WB1_23_0119_S_1,WB1_23_0119,OK,,19,weights,0.0957,2026-09-11T09:28:19+00:00
WB1_23_0119_S_2,WB1_23_0119,OK,,19,weights,0.0968,2026-09-11T09:28:19+00:00
WB1_23_0119_S_3,WB1_23_0119,OK,,19,weights,0.0975,2026-09-11T09:28:19+00:00
WB1_23_0120_S_1,WB1_23_0120,OK,,19,weights,0.0963,2026-09-11T09:28:19+00:00
WB1_23_0120_S_2,WB1_23_0120,OK,,19,weights,0.0923,2026-09-11T09:28:19+00:00
WB1_23_0120_S_3,WB1_23_0120,FAILED,no_local_maximum,0,weights,0.0938,2026-09-11T09:28:19+00:00
WB1_23_0121_S_1,WB1_23_0121,FAILED,no_local_maximum,0,weights,0.0924,2026-09-11T09:28:19+00:00
WB1_23_0121_S_2,WB1_23_0121,OK,,19,weights,0.0961,2026-09-11T09:28:19+00:00
WB1_23_0121_S_3,WB1_23_0121,OK,,19,weights,0.0962,2026-09-11T09:28:19+00:00
WB1_23_0122_S_1,WB1_23_0122,OK,,19,weights,0.0939,2026-09-11T09:28:20+00:00
WB1_23_0122_S_2,WB1_23_0122,OK,,19,weights,0.0949,2026-09-11T09:28:20+00:00
WB1_23_0122_S_3,WB1_23_0122,OK,,19,weights,0.0912,2026-09-11T09:28:20+00:00
WB1_23_0123_S_1,WB1_23_0123,OK,,19,weights,0.0920,2026-09-11T09:28:20+00:00
WB1_23_0123_S_2,WB1_23_0123,OK,,19,weights,0.0900,2026-09-11T09:28:20+00:00
WB1_23_0123_S_3,WB1_23_0123,OK,,19,weights,0.0913,2026-09-11T09:28:20+00:00
WB1_23_0124_S_1,WB1_23_0124,OK,,19,weights,0.0902,2026-09-11T09:28:20+00:00
WB1_23_0124_S_2,WB1_23_0124,OK,,19,weights,0.0932,2026-09-11T09:28:20+00:00
WB1_23_0124_S_3,WB1_23_0124,OK,,19,weights,0.0932,2026-09-11T09:28:20+00:00
WB1_23_0125_S_1,WB1_23_0125,OK,,19,weights,0.0932,2026-09-11T09:28:20+00:00
WB1_23_0125_S_2,WB1_23_0125,OK,,19,weights,0.0928,2026-09-11T09:28:20+00:00
WB1_23_0125_S_3,WB1_23_0125,OK,,19,weights,0.0984,2026-09-11T09:28:21+00:00
WB1_23_0126_S_1,WB1_23_0126,OK,,19,weights,0.0934,2026-09-11T09:28:21+00:00
WB1_23_0126_S_2,WB1_23_0126,OK,,19,weights,0.0928,2026-09-11T09:28:21+00:00
WB1_23_0126_S_3,WB1_23_0126,OK,,19,weights,0.0972,2026-09-11T09:28:21+00:00
WB1_23_0127_S_1,WB1_23_0127,OK,,19,weights,0.0942,2026-09-11T09:28:21+00:00
WB1_23_0127_S_2,WB1_23_0127,OK,,19,weights,0.0965,2026-09-11T09:28:21+00:00
WB1_23_0127_S_3,WB1_23_0127,OK,,19,weights,0.0975,2026-09-11T09:28:21+00:00
WB1_23_0128_S_1,WB1_23_0128,OK,,19,weights,0.0954,2026-09-11T09:28:21+00:00
WB1_23_0128_S_2,WB1_23_0128,OK,,19,weights,0.0933,2026-09-11T09:28:21+00:00
WB1_23_0128_S_3,WB1_23_0128,OK,,19,weights,0.0918,2026-09-11T09:28:21+00:00
WB1_23_0129_S_1,WB1_23_0129,OK,,19,weights,0.0915,2026-09-11T09:28:22+00:00
WB1_23_0129_S_2,WB1_23_0129,OK,,19,weights,0.0915,2026-09-11T09:28:22+00:00
WB1_23_0129_S_3,WB1_23_0129,OK,,19,weights,0.0976,2026-09-11T09:28:22+00:00
WB1_23_0129_S_4,WB1_23_0129,OK,,19,weights,0.0955,2026-09-11T09:28:22+00:00
WB1_23_0130_S_1,WB1_23_0130,OK,,19,weights,0.0915,2026-09-11T09:28:22+00:00
WB1_23_0130_S_2,WB1_23_0130,OK,,19,weights,0.0933,2026-09-11T09:28:22+00:00
