tps_id,inv_id,species,caste,device,device_tag
251,ARLY_PRAT_0031,pratorum,worker,Canon EOS 70D - 40mm,S3
252,ARLY_PRAT_0032,pratorum,worker,Canon EOS 70D - 40mm,P1
253,ARLY_PRAT_0032,pratorum,worker,Canon EOS 70D - 40mm,P2
254,ARLY_PRAT_0032,pratorum,worker,Canon EOS 70D - 40mm,S1
255,ARLY_PRAT_0032,pratorum,worker,Canon EOS 70D - 40mm,S2
256,ARLY_PRAT_0032,pratorum,worker,Canon EOS 70D - 40mm,S3
257,ARLY_PRAT_0033,pratorum,worker,Canon EOS 70D - 40mm,P1
258,ARLY_PRAT_0033,pratorum,worker,Canon EOS 70D - 40mm,P2
259,ARLY_PRAT_0033,pratorum,worker,Canon EOS 70D - 40mm,S1
260,ARLY_PRAT_0033,pratorum,worker,Canon EOS 70D - 40mm,S2
261,ARLY_PRAT_0033,pratorum,worker,Canon EOS 70D - 40mm,S3
262,ARLY_PRAT_0034,pratorum,worker,Canon EOS 70D - 40mm,P1
263,ARLY_PRAT_0034,pratorum,worker,Canon EOS 70D - 40mm,P2
264,ARLY_PRAT_0034,pratorum,worker,Canon EOS 70D - 40mm,S1
265,ARLY_PRAT_0034,pratorum,worker,Canon EOS 70D - 40mm,S2
266,ARLY_PRAT_0034,pratorum,worker,Canon EOS 70D - 40mm,S3
267,ARLY_PRAT_0035,pyrenaeus,worker,Smartphone Samsung s10,P1
268,ARLY_PRAT_0035,pyrenaeus,worker,Smartphone Samsung s10,P2
269,ARLY_PRAT_0035,pyrenaeus,worker,Smartphone Samsung s10,S2
270,ARLY_PRAT_0036,pratorum,drone,Smartphone Samsung s10,P1
271,ARLY_PRAT_0036,pratorum,drone,Smartphone Samsung s10,P2
272,ARLY_PRAT_0036,pratorum,drone,Smartphone Samsung s10,S1
273,ARLY_PRAT_0036,pratorum,drone,Smartphone Samsung s10,S2
274,ARLY_PRAT_0036,pratorum,drone,Smartphone Samsung s10,S3
275,ARLY_PRAT_0037,pratorum,drone,Canon EOS 70D - 40mm,P1
276,ARLY_PRAT_0037,pratorum,drone,Canon EOS 70D - 40mm,P2
277,ARLY_PRAT_0037,pratorum,drone,Canon EOS 70D - 40mm,S1
278,ARLY_PRAT_0037,pratorum,drone,Canon EOS 70D - 40mm,S2
279,ARLY_PRAT_0037,pratorum,drone,Canon EOS 70D - 40mm,S3
280,ARLY_PRAT_0038,pratorum,drone,Canon EOS 70D - 40mm,P1
281,ARLY_PRAT_0038,pratorum,drone,Canon EOS 70D - 40mm,P2
282,ARLY_PRAT_0038,pratorum,drone,Canon EOS 70D - 40mm,S1
283,ARLY_PRAT_0038,pratorum,drone,Canon EOS 70D - 40mm,S2
284,ARLY_PRAT_0038,pratorum,drone,Canon EOS 70D - 40mm,S3
285,ARLY_PRAT_0039,pratorum,worker,Smartphone Samsung s10,P1
286,ARLY_PRAT_0039,pratorum,worker,Smartphone Samsung s10,P2
287,ARLY_PRAT_0039,pratorum,worker,Smartphone Samsung s10,S1
288,ARLY_PRAT_0039,pratorum,worker,Smartphone Samsung s10,S2
289,ARLY_PRAT_0039,pratorum,worker,Smartphone Samsung s10,S3
290,ARLY_PRAT_0040,pratorum,drone,Smartphone Samsung s10,P1
291,ARLY_PRAT_0040,pratorum,drone,Smartphone Samsung s10,P2
