photo_id,inv_id,tps_id,image_path,status,registration_cost,n_outlier_landmarks,error_reason,processing_time_s
ISSERTES_0163_P_1,ISSERTES_0163,2374,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ISSERTES_0163_P_1.jpg,OK,0.0044646358094618,0.0,,0.0013
ISSERTES_0163_P_2,ISSERTES_0163,2375,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ISSERTES_0163_P_2.jpg,OK,0.0045113503254262,0.0,,0.0016
ISSERTES_0163_S_1,ISSERTES_0163,2376,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ISSERTES_0163_S_1.jpg,OK,0.0045231669919286,0.0,,0.0013
ISSERTES_0163_S_2,ISSERTES_0163,2377,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ISSERTES_0163_S_2.jpg,OK,0.0043802789621493,0.0,,0.0011
ISSERTES_0163_S_3,ISSERTES_0163,2378,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ISSERTES_0163_S_3.jpg,OK,0.004564114188872,0.0,,0.0011
ISSERTES_0164_P_2,ISSERTES_0164,2379,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ISSERTES_0164_P_2.jpg,OK,0.0045339735931094,0.0,,0.0014
ISSERTES_0164_S_2,ISSERTES_0164,2380,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ISSERTES_0164_S_2.jpg,OK,0.0045578773031331,0.0,,0.0012
ISSERTES_0164_S_3,ISSERTES_0164,2381,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ISSERTES_0164_S_3.jpg,OK,0.0045457835502726,0.0,,0.001
ISSERTES_0165_P_1,ISSERTES_0165,2382,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ISSERTES_0165_P_1.jpg,OK,0.0047356975178181,4.0,,0.001
ISSERTES_0165_P_2,ISSERTES_0165,2383,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ISSERTES_0165_P_2.jpg,OK,0.0046442472120827,4.0,,0.001
ISSERTES_0165_S_1,ISSERTES_0165,2384,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ISSERTES_0165_S_1.jpg,OK,0.0046160323610317,2.0,,0.001
ISSERTES_0165_S_2,ISSERTES_0165,2385,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ISSERTES_0165_S_2.jpg,OK,0.0047089734077225,4.0,,0.001
ISSERTES_0165_S_3,ISSERTES_0165,2386,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ISSERTES_0165_S_3.jpg,OK,0.0047584304122151,3.0,,0.001
ISSERTES_0166_P_1,ISSERTES_0166,2387,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ISSERTES_0166_P_1.jpg,OK,0.0043339528593649,0.0,,0.001
ISSERTES_0166_P_2,ISSERTES_0166,2388,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ISSERTES_0166_P_2.jpg,OK,0.0043142805389234,0.0,,0.0014
ISSERTES_0166_S_1,ISSERTES_0166,2389,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ISSERTES_0166_S_1.jpg,OK,0.0043539033702803,0.0,,0.0018
ISSERTES_0166_S_2,ISSERTES_0166,2390,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ISSERTES_0166_S_2.jpg,OK,0.0042976141589518,0.0,,0.0013
ISSERTES_0166_S_3,ISSERTES_0166,2391,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ISSERTES_0166_S_3.jpg,OK,0.00441329616563,0.0,,0.001
