image_id,specimen_id,tancrede_image_path,matched_via,status,reason,n_out_of_bounds,aspect_ratio_obb,aspect_ratio_crops_csv,keep
54c9b09d1872646e,2019.02184,/Volumes/EXT DATA/IDMB/Bombus/images/collection/Bombus_pratorum/queen/2019.02184_P1.JPG,tail3,OK,,0,2.1736,2.1736,
2b750bd62c8f6f4d,2020.03926,/Volumes/EXT DATA/IDMB/Bombus/images/collection/Bombus_pratorum/male/2020.03926_P1.JPG,tail3,SUSPECT,19 landmark(s) hors du crop 512x256,19,1.7780,1.7780,
d150d3a5853f704a,CD388145,/Volumes/EXT DATA/IDMB/Bombus/images/collection/Bombus_soroeensis/male/CD388145_P1.JPG,tail3,OK,,0,2.6300,2.6300,
bb0b38658221de13,FR05ABOM220722023,/Volumes/EXT DATA/IDMB/Bombus/images/collection/Bombus_ruderarius/male/FR05ABOM220722023_P1.JPG,tail3,SUSPECT,19 landmark(s) hors du crop 512x256,19,2.1742,2.1742,
adc9375a1f881f83,ABAURA8204,/Volumes/EXT DATA/IDMB/Bombus/images/collection/Bombus_ruderarius/male/ABAURA8204_P1.JPG,tail3,SUSPECT,19 landmark(s) hors du crop 512x256,19,2.2763,2.2763,
afa2733ef2d3d17d,ABAURA8150b,/Volumes/EXT DATA/IDMB/Bombus/images/collection/Bombus_ruderarius/worker/ABAURA8150b_P1.JPG,tail3,SUSPECT,19 landmark(s) hors du crop 512x256,19,2.0810,2.0810,
293ee473e3a80f34,CD388623c,/Volumes/EXT DATA/IDMB/Bombus/images/collection/Bombus_monticola/worker/CD388623c_P1.JPG,tail3,SUSPECT,19 landmark(s) hors du crop 512x256,19,2.4256,2.4256,
90840ac174779ef2,CD388229c,/Volumes/EXT DATA/IDMB/Bombus/images/collection/Bombus_soroeensis/male/CD388229c_P1.JPG,tail3,OK,,0,2.3117,2.3117,
e55a2d7d8e253760,CD387804c,/Volumes/EXT DATA/IDMB/Bombus/images/collection/Bombus_soroeensis/male/CD387804c_P1.JPG,tail3,OK,,0,2.1982,2.1982,
ef6eda02d790d8d0,FR04ABOM220722061,/Volumes/EXT DATA/IDMB/Bombus/images/collection/Bombus_pyrenaeus/male/FR04ABOM220722061_P1.JPG,tail3,OK,,0,2.3043,2.3043,
40523f230187aeee,ABAURA8604,/Volumes/EXT DATA/IDMB/Bombus/images/collection/Bombus_wurflenii/worker/ABAURA8604_P1.JPG,tail3,SUSPECT,19 landmark(s) hors du crop 512x256,19,2.2897,2.2897,
945ee73ffa62db9a,FR15ABOM100721031,/Volumes/EXT DATA/IDMB/Bombus/images/collection/Bombus_rupestris/queen/FR15ABOM100721031_P1.JPG,tail3,SUSPECT,19 landmark(s) hors du crop 512x256,19,1.6750,1.6750,
83c0adfd4496e2f0,ABAURA4902,/Volumes/EXT DATA/IDMB/Bombus/images/collection/Bombus_ruderarius/worker/ABAURA4902_P1.JPG,tail3,SUSPECT,19 landmark(s) hors du crop 512x256,19,2.1744,2.1744,
a3c4920591e8fba0,ABAURA8207b,/Volumes/EXT DATA/IDMB/Bombus/images/collection/Bombus_wurflenii/worker/ABAURA8207b_P1.JPG,tail3,SUSPECT,19 landmark(s) hors du crop 512x256,19,2.2670,2.2670,
307a106694369966,FR15ABOM150821068,/Volumes/EXT DATA/IDMB/Bombus/images/collection/Bombus_pomorum/worker/FR15ABOM150821068_P1.JPG,tail3,SUSPECT,19 landmark(s) hors du crop 512x256,19,2.2862,2.2862,
dd485bd2d093fa7e,OPIE_Lapi_230620b,/Volumes/EXT DATA/IDMB/Bombus/images/collection/Bombus_lapidarius/worker/OPIE_Lapi_230620b_P1.JPG,tail3,OK,,0,2.2997,2.2997,
dee0257031455c91,FR73ABOM130722020,/Volumes/EXT DATA/IDMB/Bombus/images/collection/Bombus_pyrenaeus/male/FR73ABOM130722020_P1.JPG,tail3,OK,,0,2.3188,2.3188,
8727b6c498dc4008,FR15ABOM200722065,/Volumes/EXT DATA/IDMB/Bombus/images/collection/Bombus_wurflenii/male/FR15ABOM200722065_P1.JPG,tail3,SUSPECT,19 landmark(s) hors du crop 512x256,19,2.2936,2.2936,
67d3b3f24b45a666,CD388809,/Volumes/EXT DATA/IDMB/Bombus/images/collection/Bombus_soroeensis/worker/CD388809_P1.JPG,tail3,OK,,0,2.0832,2.0832,
2b3b4f62c27d55c2,FR04ABOM220722047,/Volumes/EXT DATA/IDMB/Bombus/images/collection/Bombus_sichelii/male/FR04ABOM220722047_P1.JPG,tail3,SUSPECT,19 landmark(s) hors du crop 512x256,19,2.3243,2.3243,
2063627090d3100e,ABAURA8240c,/Volumes/EXT DATA/IDMB/Bombus/images/collection/Bombus_pratorum/worker/ABAURA8240c_P1.JPG,tail3,SUSPECT,19 landmark(s) hors du crop 512x256,19,2.0097,2.0097,
970fde072567a9b1,FR04ABOM220722089,/Volumes/EXT DATA/IDMB/Bombus/images/collection/Bombus_pyrenaeus/queen/FR04ABOM220722089_P1.JPG,tail3,OK,,0,2.1890,2.1890,
eba4545229efa1ba,15L2021-1739,/Volumes/EXT DATA/IDMB/Bombus/images/collection/Bombus_soroeensis/male/15L2021-1739_P1.JPG,tail3,OK,,0,2.3525,2.3525,
ec4ea388e0135426,ABAURA8867,/Volumes/EXT DATA/IDMB/Bombus/images/collection/Bombus_soroeensis/worker/ABAURA8867_P1.JPG,tail3,OK,,0,2.3797,2.3797,
a2245dee4fde772d,FR73ABOM130722001,/Volumes/EXT DATA/IDMB/Bombus/images/collection/Bombus_monticola/worker/FR73ABOM130722001_P1.JPG,tail3,OK,,0,2.1500,2.1500,
2d65a061e305b630,VAN-2019.00850,/Volumes/EXT DATA/IDMB/Bombus/images/collection/Bombus_rupestris/male/VAN-2019.00850_P1.JPG,tail3,SUSPECT,19 landmark(s) hors du crop 512x256,19,2.2312,2.2312,
57594cb4054693b0,ABAURA8205b,/Volumes/EXT DATA/IDMB/Bombus/images/collection/Bombus_ruderarius/worker/ABAURA8205b_P1.JPG,tail3,SUSPECT,19 landmark(s) hors du crop 512x256,19,2.1605,2.1605,
71dc6d0d508e82b0,NoName9,/Volumes/EXT DATA/IDMB/Bombus/images/collection/Bombus_sylvarum/male/NoName9_P1.JPG,tail3,SUSPECT,19 landmark(s) hors du crop 512x256,19,2.4211,2.4211,
4fbd751b459927d9,15L2021-1483,/Volumes/EXT DATA/IDMB/Bombus/images/collection/Bombus_soroeensis/male/15L2021-1483_P1.JPG,tail3,OK,,0,2.4199,2.4199,
624241c2adff69a6,FR15ABOM200821156,/Volumes/EXT DATA/IDMB/Bombus/images/collection/Bombus_rupestris/queen/FR15ABOM200821156_P1.JPG,tail3,SUSPECT,13 landmark(s) hors du crop 512x256,13,1.4907,1.4907,
393628d7e190f37d,FR73ABOM150722001,/Volumes/EXT DATA/IDMB/Bombus/images/collection/Bombus_monticola/male/FR73ABOM150722001_P1.JPG,tail3,OK,,0,2.2110,2.2110,
e839b466b970869b,CD388018c,/Volumes/EXT DATA/IDMB/Bombus/images/collection/Bombus_sichelii/worker/CD388018c_P1.JPG,tail3,SUSPECT,19 landmark(s) hors du crop 512x256,19,2.3478,2.3478,
bad35adae20298a0,FR73ABOM200722034,/Volumes/EXT DATA/IDMB/Bombus/images/collection/Bombus_pyrenaeus/worker/FR73ABOM200722034_P1.JPG,tail3,OK,,0,2.2586,2.2586,
78f40548945b56e8,ABAURA5591,/Volumes/EXT DATA/IDMB/Bombus/images/collection/Bombus_soroeensis/worker/ABAURA5591_P1.JPG,tail3,OK,,0,2.4648,2.4648,
79ad6b160d226108,CD387770d,/Volumes/EXT DATA/IDMB/Bombus/images/collection/Bombus_sichelii/worker/CD387770d_P1.JPG,tail3,SUSPECT,19 landmark(s) hors du crop 512x256,19,2.3032,2.3032,
89db2d384e5e424a,BAR.2018.00342,/Volumes/EXT DATA/IDMB/Bombus/images/collection/Bombus_sylvarum/worker/BAR.2018.00342_P1.JPG,tail3,SUSPECT,19 landmark(s) hors du crop 512x256,19,2.0571,2.0571,
c9dd7d0425a86283,FR05ABOM220722024,/Volumes/EXT DATA/IDMB/Bombus/images/collection/Bombus_ruderarius/male/FR05ABOM220722024_P1.JPG,tail3,SUSPECT,19 landmark(s) hors du crop 512x256,19,2.1910,2.1910,
f71ff213f80d0bf8,FR73ABOM120722072,/Volumes/EXT DATA/IDMB/Bombus/images/collection/Bombus_pyrenaeus/male/FR73ABOM120722072_P1.JPG,tail3,OK,,0,2.1919,2.1919,
cee57c2d99b94e99,CD387303,/Volumes/EXT DATA/IDMB/Bombus/images/collection/Bombus_sylvarum/worker/CD387303_P1.JPG,tail3,SUSPECT,19 landmark(s) hors du crop 512x256,19,2.2935,2.2935,
ad1d2950a08f413b,15L2021-1741,/Volumes/EXT DATA/IDMB/Bombus/images/collection/Bombus_soroeensis/male/15L2021-1741_P1.JPG,tail3,OK,,0,2.2592,2.2592,
da02567753682912,FR73ABOM200722017,/Volumes/EXT DATA/IDMB/Bombus/images/collection/Bombus_sichelii/male/FR73ABOM200722017_P1.JPG,tail3,SUSPECT,19 landmark(s) hors du crop 512x256,19,2.3350,2.3350,
7dd025e557849e1a,15L2021-1742,/Volumes/EXT DATA/IDMB/Bombus/images/collection/Bombus_soroeensis/male/15L2021-1742_P1.JPG,tail3,OK,,0,2.4014,2.4014,
b2d994acde47d2b4,FR15ABOM200821215,/Volumes/EXT DATA/IDMB/Bombus/images/collection/Bombus_pomorum/worker/FR15ABOM200821215_P1.JPG,tail3,SUSPECT,19 landmark(s) hors du crop 512x256,19,2.1920,2.1920,
fdf82c1dd7b5a73b,CD388821c,/Volumes/EXT DATA/IDMB/Bombus/images/collection/Bombus_pyrenaeus/male/CD388821c_P1.JPG,tail3,SUSPECT,19 landmark(s) hors du crop 512x256,19,2.4428,2.4428,
75c500bdb7c8a50f,ABAURA7163,/Volumes/EXT DATA/IDMB/Bombus/images/collection/Bombus_ruderarius/queen/ABAURA7163_P1.JPG,tail3,OK,,0,2.2042,2.2042,
c32cd7e7a5303d50,CD388861,/Volumes/EXT DATA/IDMB/Bombus/images/collection/Bombus_pratorum/male/CD388861_P1.JPG,tail3,SUSPECT,19 landmark(s) hors du crop 512x256,19,2.2536,2.2536,
753050243f266b43,FR04ABOM220722092,/Volumes/EXT DATA/IDMB/Bombus/images/collection/Bombus_pyrenaeus/worker/FR04ABOM220722092_P1.JPG,tail3,OK,,0,2.3219,2.3219,
48a9ea20113c09e3,15L2021-1758,/Volumes/EXT DATA/IDMB/Bombus/images/collection/Bombus_rupestris/male/15L2021-1758_P1.JPG,tail3,SUSPECT,19 landmark(s) hors du crop 512x256,19,2.3701,2.3701,
a8a020a2acc3ba05,OPIE_Lapi_130720b,/Volumes/EXT DATA/IDMB/Bombus/images/collection/Bombus_lapidarius/worker/OPIE_Lapi_130720b_P1.JPG,tail3,OK,,0,2.2994,2.2994,
