idx,image,status,x,y,w,h,theta,confidence,similarity,aspect_ratio,n_detections,input_path,output_path
107,WB1_23_0062_1,OK,1479,1533,340,676,0.0,0.765,0.732,1.99,2,/Volumes/EXT DATA/IDMB/images/terrain/ligia/WB1_23_0062_1.jpg,data/images/crop/terrain/ligia/WB1_23_0062_1.jpg
108,WB1_23_0062_2,OK,1326,1594,320,637,0.0,0.932,0.807,1.99,1,/Volumes/EXT DATA/IDMB/images/terrain/ligia/WB1_23_0062_2.jpg,data/images/crop/terrain/ligia/WB1_23_0062_2.jpg
109,WB1_23_0062_3,OK,1318,1727,312,629,0.0,0.947,0.81,2.01,2,/Volumes/EXT DATA/IDMB/images/terrain/ligia/WB1_23_0062_3.jpg,data/images/crop/terrain/ligia/WB1_23_0062_3.jpg
110,WB1_23_0063_1,OK,1579,2245,211,482,3.367,0.915,0.893,2.28,2,/Volumes/EXT DATA/IDMB/images/terrain/ligia/WB1_23_0063_1.jpg,data/images/crop/terrain/ligia/WB1_23_0063_1.jpg
111,WB1_23_0063_2,OK,1625,2229,211,481,5.194,0.841,0.898,2.27,2,/Volumes/EXT DATA/IDMB/images/terrain/ligia/WB1_23_0063_2.jpg,data/images/crop/terrain/ligia/WB1_23_0063_2.jpg
112,WB1_23_0063_3,OK,1620,2213,212,491,4.399,0.874,0.894,2.31,1,/Volumes/EXT DATA/IDMB/images/terrain/ligia/WB1_23_0063_3.jpg,data/images/crop/terrain/ligia/WB1_23_0063_3.jpg
113,WB1_23_0064_1,OK,1062,2060,324,754,12.355,0.937,0.819,2.33,1,/Volumes/EXT DATA/IDMB/images/terrain/ligia/WB1_23_0064_1.jpg,data/images/crop/terrain/ligia/WB1_23_0064_1.jpg
114,WB1_23_0064_2,OK,1076,2078,318,745,13.241,0.945,0.824,2.34,2,/Volumes/EXT DATA/IDMB/images/terrain/ligia/WB1_23_0064_2.jpg,data/images/crop/terrain/ligia/WB1_23_0064_2.jpg
115,WB1_23_0064_3,OK,1074,2094,320,740,11.634,0.956,0.814,2.31,3,/Volumes/EXT DATA/IDMB/images/terrain/ligia/WB1_23_0064_3.jpg,data/images/crop/terrain/ligia/WB1_23_0064_3.jpg
116,WB1_23_0065_1,OK,1527,2027,195,461,0.0,0.321,0.724,2.36,2,/Volumes/EXT DATA/IDMB/images/terrain/ligia/WB1_23_0065_1.jpg,data/images/crop/terrain/ligia/WB1_23_0065_1.jpg
117,WB1_23_0065_2,OK,934,2434,398,172,-90.0,0.379,0.761,2.32,2,/Volumes/EXT DATA/IDMB/images/terrain/ligia/WB1_23_0065_2.jpg,data/images/crop/terrain/ligia/WB1_23_0065_2.jpg
118,WB1_23_0065_3,OK,946,2378,434,163,-71.565,0.363,0.667,2.66,4,/Volumes/EXT DATA/IDMB/images/terrain/ligia/WB1_23_0065_3.jpg,data/images/crop/terrain/ligia/WB1_23_0065_3.jpg
119,WB1_23_0066_1,OK,1471,2158,285,785,0.0,0.948,0.762,2.75,2,/Volumes/EXT DATA/IDMB/images/terrain/ligia/WB1_23_0066_1.jpg,data/images/crop/terrain/ligia/WB1_23_0066_1.jpg
120,WB1_23_0066_2,OK,1434,2213,293,781,0.0,0.96,0.757,2.67,2,/Volumes/EXT DATA/IDMB/images/terrain/ligia/WB1_23_0066_2.jpg,data/images/crop/terrain/ligia/WB1_23_0066_2.jpg
121,WB1_23_0066_3,OK,1463,2273,281,777,0.0,0.961,0.789,2.76,1,/Volumes/EXT DATA/IDMB/images/terrain/ligia/WB1_23_0066_3.jpg,data/images/crop/terrain/ligia/WB1_23_0066_3.jpg
122,WB1_23_0067_1,OK,1533,2172,344,840,0.0,0.972,0.83,2.44,2,/Volumes/EXT DATA/IDMB/images/terrain/ligia/WB1_23_0067_1.jpg,data/images/crop/terrain/ligia/WB1_23_0067_1.jpg
123,WB1_23_0067_2,OK,1559,2119,340,828,0.0,0.965,0.855,2.44,2,/Volumes/EXT DATA/IDMB/images/terrain/ligia/WB1_23_0067_2.jpg,data/images/crop/terrain/ligia/WB1_23_0067_2.jpg
124,WB1_23_0067_3,OK,1687,2125,352,852,0.0,0.971,0.851,2.42,2,/Volumes/EXT DATA/IDMB/images/terrain/ligia/WB1_23_0067_3.jpg,data/images/crop/terrain/ligia/WB1_23_0067_3.jpg
125,WB1_23_0068_1,OK,1229,2150,371,871,0.0,0.876,0.879,2.35,2,/Volumes/EXT DATA/IDMB/images/terrain/ligia/WB1_23_0068_1.jpg,data/images/crop/terrain/ligia/WB1_23_0068_1.jpg
126,WB1_23_0068_2,OK,1274,2261,359,871,3.945,0.916,0.857,2.42,2,/Volumes/EXT DATA/IDMB/images/terrain/ligia/WB1_23_0068_2.jpg,data/images/crop/terrain/ligia/WB1_23_0068_2.jpg
127,WB1_23_0068_3,OK,1411,2255,351,841,2.862,0.926,0.85,2.39,2,/Volumes/EXT DATA/IDMB/images/terrain/ligia/WB1_23_0068_3.jpg,data/images/crop/terrain/ligia/WB1_23_0068_3.jpg
128,WB1_23_0069_1,OK,1379,2430,281,703,0.0,0.972,0.843,2.5,1,/Volumes/EXT DATA/IDMB/images/terrain/ligia/WB1_23_0069_1.jpg,data/images/crop/terrain/ligia/WB1_23_0069_1.jpg
129,WB1_23_0069_2,OK,1375,2414,281,695,0.0,0.977,0.849,2.47,1,/Volumes/EXT DATA/IDMB/images/terrain/ligia/WB1_23_0069_2.jpg,data/images/crop/terrain/ligia/WB1_23_0069_2.jpg
130,WB1_23_0069_3,OK,1471,2408,285,699,0.0,0.974,0.863,2.45,1,/Volumes/EXT DATA/IDMB/images/terrain/ligia/WB1_23_0069_3.jpg,data/images/crop/terrain/ligia/WB1_23_0069_3.jpg
131,WB1_23_0070_1,OK,1225,2316,266,684,0.0,0.904,0.875,2.57,1,/Volumes/EXT DATA/IDMB/images/terrain/ligia/WB1_23_0070_1.jpg,data/images/crop/terrain/ligia/WB1_23_0070_1.jpg
132,WB1_23_0070_2,OK,1205,2330,270,676,0.0,0.971,0.873,2.51,1,/Volumes/EXT DATA/IDMB/images/terrain/ligia/WB1_23_0070_2.jpg,data/images/crop/terrain/ligia/WB1_23_0070_2.jpg
133,WB1_23_0070_3,OK,1287,2311,270,684,0.0,0.953,0.858,2.54,2,/Volumes/EXT DATA/IDMB/images/terrain/ligia/WB1_23_0070_3.jpg,data/images/crop/terrain/ligia/WB1_23_0070_3.jpg
134,WB1_23_0116_1,OK,1236,2691,350,937,0.0,0.891,0.744,2.67,6,/Volumes/EXT DATA/IDMB/images/terrain/mehdi/WB1_23_0116_1.jpg,data/images/crop/terrain/mehdi/WB1_23_0116_1.jpg
135,WB1_23_0116_2,OK,1154,2652,343,945,0.0,0.856,0.721,2.76,5,/Volumes/EXT DATA/IDMB/images/terrain/mehdi/WB1_23_0116_2.jpg,data/images/crop/terrain/mehdi/WB1_23_0116_2.jpg
136,WB1_23_0116_3,OK,1203,2662,346,941,0.0,0.789,0.725,2.72,3,/Volumes/EXT DATA/IDMB/images/terrain/mehdi/WB1_23_0116_3.jpg,data/images/crop/terrain/mehdi/WB1_23_0116_3.jpg
137,WB1_23_0117_1,OK,1400,2664,366,910,0.0,0.936,0.787,2.48,4,/Volumes/EXT DATA/IDMB/images/terrain/mehdi/WB1_23_0117_1.jpg,data/images/crop/terrain/mehdi/WB1_23_0117_1.jpg
138,WB1_23_0117_2,OK,1565,2496,362,894,0.0,0.834,0.819,2.47,4,/Volumes/EXT DATA/IDMB/images/terrain/mehdi/WB1_23_0117_2.jpg,data/images/crop/terrain/mehdi/WB1_23_0117_2.jpg
