epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
74,6664.99,0.42074,0.15664,0.0461,0.01699,0.98862,0.98,0.9925,0.90999,0.43454,0.1651,0.006,0.02064,0.0005546,0.0005546,0.0005546
75,6741.78,0.42196,0.15652,0.04615,0.01699,0.98813,0.98307,0.99169,0.90812,0.43017,0.16915,0.00558,0.02067,0.0005348,0.0005348,0.0005348
76,6821.48,0.42093,0.15449,0.04447,0.01653,0.97965,0.98872,0.99269,0.90735,0.43241,0.17076,0.00546,0.02132,0.000515,0.000515,0.000515
77,6900.86,0.41936,0.15554,0.04569,0.01723,0.98866,0.98381,0.99225,0.90837,0.43637,0.17564,0.00583,0.02274,0.0004952,0.0004952,0.0004952
78,6978.46,0.41503,0.15456,0.04534,0.01674,0.98187,0.99286,0.99105,0.90575,0.44653,0.16455,0.00623,0.02249,0.0004754,0.0004754,0.0004754
79,7055.29,0.40947,0.14773,0.04554,0.01579,0.99013,0.99006,0.99216,0.90895,0.43958,0.16106,0.00608,0.02078,0.0004556,0.0004556,0.0004556
80,7132.99,0.41654,0.15222,0.04426,0.01648,0.9805,0.99305,0.99131,0.9085,0.43915,0.15939,0.00597,0.02073,0.0004358,0.0004358,0.0004358
81,7210.28,0.40644,0.14985,0.04485,0.01612,0.98625,0.99154,0.99106,0.9081,0.43519,0.16864,0.00587,0.02051,0.000416,0.000416,0.000416
82,7288.01,0.40668,0.14872,0.04505,0.01656,0.98173,0.98528,0.99204,0.90587,0.43455,0.16902,0.0056,0.02162,0.0003962,0.0003962,0.0003962
83,7365.12,0.40092,0.15114,0.04479,0.01558,0.98624,0.9859,0.99094,0.91112,0.42371,0.1659,0.00569,0.02047,0.0003764,0.0003764,0.0003764
84,7443.33,0.40544,0.15024,0.04335,0.01546,0.9862,0.98872,0.99196,0.91253,0.42804,0.16132,0.00559,0.01999,0.0003566,0.0003566,0.0003566
85,7524.91,0.40759,0.14925,0.04452,0.01571,0.98584,0.98223,0.99081,0.91467,0.42707,0.16376,0.00558,0.02023,0.0003368,0.0003368,0.0003368
86,7603.17,0.4053,0.15099,0.04378,0.01632,0.98203,0.98307,0.98962,0.91029,0.43008,0.17241,0.0055,0.02038,0.000317,0.000317,0.000317
87,7679.56,0.39714,0.14648,0.04443,0.01551,0.9813,0.99295,0.99056,0.91659,0.4163,0.16182,0.00553,0.01929,0.0002972,0.0002972,0.0002972
88,7756.68,0.39886,0.14944,0.0454,0.01543,0.98526,0.98307,0.99157,0.91417,0.41938,0.16624,0.00557,0.01921,0.0002774,0.0002774,0.0002774
89,7833.54,0.40012,0.14595,0.04188,0.01531,0.98317,0.98892,0.99169,0.91561,0.41925,0.16299,0.0055,0.01939,0.0002576,0.0002576,0.0002576
90,7910.31,0.3967,0.14486,0.04376,0.01523,0.98871,0.988,0.99159,0.91863,0.4198,0.15908,0.00561,0.01927,0.0002378,0.0002378,0.0002378
91,7986.81,0.39483,0.14641,0.04314,0.01527,0.98451,0.986,0.98976,0.91414,0.41619,0.16629,0.00556,0.01933,0.000218,0.000218,0.000218
92,8063.45,0.39611,0.15061,0.04219,0.0154,0.98457,0.98972,0.98998,0.9151,0.41708,0.16569,0.00557,0.0195,0.0001982,0.0001982,0.0001982
93,8140.42,0.39387,0.14911,0.04374,0.01538,0.98041,0.98848,0.99042,0.91383,0.41795,0.16541,0.00556,0.01964,0.0001784,0.0001784,0.0001784
94,8217.34,0.39335,0.14471,0.0445,0.01428,0.98164,0.99154,0.99072,0.91515,0.4177,0.16697,0.00561,0.01944,0.0001586,0.0001586,0.0001586
95,8293.86,0.38993,0.14527,0.04359,0.01493,0.97772,0.99015,0.99101,0.91581,0.41887,0.16817,0.00567,0.01909,0.0001388,0.0001388,0.0001388
96,8370.57,0.39016,0.14905,0.04452,0.01501,0.98235,0.98731,0.99151,0.91706,0.41498,0.16537,0.00557,0.01909,0.000119,0.000119,0.000119
97,8447.38,0.38648,0.14773,0.04426,0.01508,0.98187,0.99283,0.99116,0.91599,0.41541,0.16639,0.0056,0.01902,9.92e-05,9.92e-05,9.92e-05
98,8523.74,0.38544,0.14074,0.0439,0.01459,0.98134,0.99013,0.99095,0.91738,0.41504,0.1687,0.00563,0.01903,7.94e-05,7.94e-05,7.94e-05
99,8600.13,0.38552,0.14154,0.04322,0.01506,0.98073,0.99013,0.99149,0.91606,0.4171,0.1665,0.0056,0.01922,5.96e-05,5.96e-05,5.96e-05
100,8677.15,0.38601,0.14383,0.04258,0.01468,0.98587,0.98434,0.99125,0.91655,0.41506,0.16846,0.00561,0.01902,3.98e-05,3.98e-05,3.98e-05
